Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-089,2000,21,15,1334,14.8,4,3,7,4,0,0,1,0,2.9,2.9,2.8,5.7,29,39,88,0.27,0.20,0.47,0.27,0.47,0.21,0.20,0.41,0.21,0.41
Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19-251,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-007,2006,11,1,288,3.2,2,0,2,2,0,0,0,0,2.2,2.2,0.1,2.3,19,0,38,0.62,0.00,0.62,0.62,0.62,0.70,0.02,0.73,0.70,0.73
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-063,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,2.0,0.4,0.4,0.9,39,79,12,0.19,0.00,0.19,0.00,0.00,0.19,0.04,0.23,0.04,0.08
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32-030,1993,10,6,485,5.4,0,0,0,0,0,0,3,1,0.0,0.0,0.5,0.5,12,7,18,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-299,2000,12,7,528,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-185,1999,12,3,371,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,7,19,36,0.00,0.24,0.24,0.00,0.24,0.05,0.17,0.22,0.05,0.22
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-352,1993,17,17,1468,16.3,1,0,1,1,0,0,5,0,0.7,0.7,1.0,1.6,18,78,13,0.06,0.00,0.06,0.06,0.06,0.04,0.06,0.11,0.04,0.11
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-297,2003,18,15,1428,15.9,3,2,5,3,0,1,3,0,3.8,3.0,1.6,4.6,55,32,87,0.19,0.13,0.32,0.19,0.32,0.25,0.11,0.36,0.20,0.31
Abner,br BRA,DF,Lyon,fr Ligue 1,25-237,2000,12,12,979,10.9,3,0,3,3,0,0,3,1,1.0,1.0,0.4,1.4,18,53,41,0.28,0.00,0.28,0.28,0.28,0.10,0.04,0.14,0.10,0.14
Zakaria Aboukhlal,ma MAR,"DF,FW",Torino,it Serie A,25-335,2000,13,5,446,5.0,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.5,17,16,22,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-315,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.2,0.2,0.4,0.6,3,11,1,0.00,0.13,0.13,0.00,0.13,0.03,0.05,0.08,0.03,0.08
Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-267,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,1,20,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-345,2003,11,4,307,3.4,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,9,20,0.29,0.00,0.29,0.29,0.29,0.10,0.05,0.15,0.10,0.15
Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-343,1988,13,11,973,10.8,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.8,6,35,0,0.00,0.09,0.09,0.00,0.09,0.04,0.04,0.08,0.04,0.08
Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-175,1998,17,6,749,8.3,3,3,6,3,0,0,1,0,4.0,4.0,1.4,5.4,3,13,22,0.36,0.36,0.72,0.36,0.72,0.58,0.20,0.78,0.58,0.78
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-259,2006,9,6,476,5.3,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,5,13,4,0.19,0.00,0.19,0.19,0.19,0.12,0.01,0.13,0.12,0.13
Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-355,2000,14,8,852,9.5,3,2,5,3,0,0,1,0,3.9,3.9,0.8,4.7,17,8,41,0.32,0.21,0.53,0.32,0.53,0.41,0.08,0.50,0.41,0.50
Che Adams,sct SCO,FW,Torino,it Serie A,29-190,1996,20,11,1140,12.7,3,1,4,3,0,0,0,0,3.3,3.3,1.3,4.5,12,25,82,0.24,0.08,0.32,0.24,0.32,0.28,0.11,0.39,0.28,0.39
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-339,1999,15,15,1195,13.3,2,1,3,2,0,0,5,0,0.5,0.5,0.1,0.5,12,61,7,0.15,0.08,0.23,0.15,0.23,0.03,0.01,0.04,0.03,0.04
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-227,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,1.6,1.6,1.2,2.7,2,4,28,0.20,0.20,0.40,0.20,0.40,0.32,0.23,0.55,0.32,0.55
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-117,1997,11,7,708,7.9,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,3,21,0,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11
Jayden Addai,nl NED,FW,Como,it Serie A,20-146,2005,10,7,618,6.9,3,0,3,3,0,0,3,0,1.4,1.4,0.5,1.9,24,14,54,0.44,0.00,0.44,0.44,0.44,0.21,0.07,0.28,0.21,0.28
Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24-001,2002,18,11,828,9.2,5,2,7,5,0,0,3,0,2.7,2.7,1.6,4.2,25,19,79,0.54,0.22,0.76,0.54,0.76,0.32,0.19,0.51,0.32,0.51
Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,24-018,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.3,0.3,0.9,1.2,25,8,67,0.14,0.00,0.14,0.14,0.14,0.05,0.12,0.17,0.05,0.17
Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-151,2002,4,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
