match_id,match_url,date,season,competition,opponent,home_away,goals_for,goals_against,xG_for,xG_against,posesion
6f0fac43,https://fbref.com/en/matches/6f0fac43/Valencia-Barcelona-August-17-2024-La-Liga,2024-08-17,2024-2025,La Liga,Valencia,Away,2,1,3.2,1.0,63
87bc9bba,https://fbref.com/en/matches/87bc9bba/Barcelona-Athletic-Club-August-24-2024-La-Liga,2024-08-24,2024-2025,La Liga,Athletic Club,Home,2,1,1.8,1.0,64
f8fc00c7,https://fbref.com/en/matches/f8fc00c7/Rayo-Vallecano-Barcelona-August-27-2024-La-Liga,2024-08-27,2024-2025,La Liga,Rayo Vallecano,Away,2,1,1.4,0.4,64
3ed1b8ff,https://fbref.com/en/matches/3ed1b8ff/Barcelona-Valladolid-August-31-2024-La-Liga,2024-08-31,2024-2025,La Liga,Valladolid,Home,7,0,4.7,0.5,70
f166ffc9,https://fbref.com/en/matches/f166ffc9/Girona-Barcelona-September-15-2024-La-Liga,2024-09-15,2024-2025,La Liga,Girona,Away,4,1,1.9,1.3,55
745d19c2,https://fbref.com/en/matches/745d19c2/Monaco-Barcelona-September-19-2024-Champions-League,2024-09-19,2024-2025,Champions Lg,fr Monaco,Away,1,2,0.4,1.3,44
79c38937,https://fbref.com/en/matches/79c38937/Villarreal-Barcelona-September-22-2024-La-Liga,2024-09-22,2024-2025,La Liga,Villarreal,Away,5,1,3.9,2.2,63
231f83bc,https://fbref.com/en/matches/231f83bc/Barcelona-Getafe-September-25-2024-La-Liga,2024-09-25,2024-2025,La Liga,Getafe,Home,1,0,1.9,0.7,76
d5c58cc9,https://fbref.com/en/matches/d5c58cc9/Osasuna-Barcelona-September-28-2024-La-Liga,2024-09-28,2024-2025,La Liga,Osasuna,Away,2,4,0.8,2.2,73
9efdd96e,https://fbref.com/en/matches/9efdd96e/Barcelona-Young-Boys-October-1-2024-Champions-League,2024-10-01,2024-2025,Champions Lg,ch Young Boys,Home,5,0,3.4,0.8,69
ba5dd68e,https://fbref.com/en/matches/ba5dd68e/Alaves-Barcelona-October-6-2024-La-Liga,2024-10-06,2024-2025,La Liga,Alavés,Away,3,0,2.7,0.7,71
5f73bf47,https://fbref.com/en/matches/5f73bf47/Barcelona-Sevilla-October-20-2024-La-Liga,2024-10-20,2024-2025,La Liga,Sevilla,Home,5,1,3.8,1.0,67
710ee5bb,https://fbref.com/en/matches/710ee5bb/Barcelona-Bayern-Munich-October-23-2024-Champions-League,2024-10-23,2024-2025,Champions Lg,de Bayern Munich,Home,4,1,2.2,1.0,40
e6bc2844,https://fbref.com/en/matches/e6bc2844/El-Clasico-Real-Madrid-Barcelona-October-26-2024-La-Liga,2024-10-26,2024-2025,La Liga,Real Madrid,Away,4,0,2.6,1.5,57
