Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Robert Lewandowski,9.0,pl POL,FW,36-136,61,2,0,0,0,3,2,1,0,1,0,1,1,0,0,0,,,d1a68226
Ansu Fati,10.0,es ESP,"FW,MF",22-065,29,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,,,d1a68226
Fermin López,16.0,es ESP,AM,21-238,90,0,0,0,0,4,2,0,0,1,0,2,4,5,0,0,,,d1a68226
Pedri,8.0,es ESP,AM,22-040,45,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,,,d1a68226
Gavi,6.0,es ESP,"FW,MF",20-152,45,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,,,d1a68226
Pablo Torre,14.0,es ESP,AM,21-276,80,1,2,0,0,1,1,0,0,2,3,0,7,0,2,0,,,d1a68226
Toni Fernández,42.0,es ESP,MF,16-173,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,d1a68226
Eric García,24.0,es ESP,DM,23-361,90,1,0,0,0,2,1,0,0,0,1,0,0,2,2,0,,,d1a68226
Frenkie de Jong,21.0,nl NED,DM,27-237,90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,d1a68226
Gerard Martín,35.0,es ESP,LB,23-003,90,0,0,0,0,0,0,0,0,0,1,0,5,2,2,0,,,d1a68226
Iñigo Martínez,5.0,es ESP,CB,33-232,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,d1a68226
Pau Cubarsí,2.0,es ESP,DF,17-348,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,d1a68226
Ronald Araújo,4.0,uy URU,CB,25-303,90,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,,,d1a68226
Jules Koundé,23.0,fr FRA,RB,26-053,61,0,0,0,0,1,0,0,0,1,3,0,3,0,0,0,,,d1a68226
Sergi Dominguez,36.0,es ESP,DF,19-278,29,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,,,d1a68226
Wojciech Szczęsny,25.0,pl POL,GK,34-261,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,d1a68226
16 Players,,,,,990,4,3,0,0,19,9,1,0,7,15,3,27,12,9,0,,,d1a68226
