Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-161,68,0,0,0,0,1,0,0,0,25,0,0,0,0.3,0.3,0.0,2,0,19,21,90.5,4,12,1,0,0,7fd1f0e9
Ferrán Torres,7.0,es ESP,FW,24-335,22,0,0,0,0,2,1,0,0,11,0,0,0,0.4,0.4,0.0,0,0,6,9,66.7,1,5,0,0,0,7fd1f0e9
Raphinha,11.0,br BRA,LW,28-046,90,0,2,0,0,4,2,0,0,54,1,1,0,0.1,0.1,2.0,9,2,38,47,80.9,3,29,2,1,1,7fd1f0e9
Lamine Yamal,19.0,es ESP,RW,17-200,89,1,0,0,0,6,3,0,0,68,1,2,0,1.3,1.3,0.0,6,2,45,53,84.9,7,54,8,7,5,7fd1f0e9
Pau Victor,18.0,es ESP,RW,23-064,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,7fd1f0e9
Gavi,6.0,es ESP,AM,20-177,68,0,0,0,0,0,0,0,0,37,1,0,1,0.0,0.0,0.1,3,0,26,30,86.7,0,21,0,0,0,7fd1f0e9
Fermin López,16.0,es ESP,AM,21-263,22,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,1,6,0,0,0,7fd1f0e9
Pedri,8.0,es ESP,DM,22-065,79,0,0,0,0,0,0,0,0,49,3,0,1,0.0,0.0,0.0,1,0,37,41,90.2,0,25,1,1,0,7fd1f0e9
Marc Casado,17.0,es ESP,DM,21-137,11,0,0,0,0,2,0,0,0,17,0,0,0,0.0,0.0,0.0,2,0,13,14,92.9,2,10,0,0,0,7fd1f0e9
Frenkie de Jong,21.0,nl NED,DM,27-262,90,0,0,0,0,0,0,0,0,67,1,2,0,0.0,0.0,0.0,1,0,60,64,93.8,4,49,1,0,0,7fd1f0e9
Alejandro Balde,3.0,es ESP,LB,21-103,90,0,0,0,0,0,0,0,0,67,1,1,0,0.0,0.0,0.0,2,0,49,55,89.1,2,43,3,7,1,7fd1f0e9
Eric García,24.0,es ESP,CB,24-020,68,0,0,0,0,0,0,0,0,72,2,0,0,0.0,0.0,0.0,0,0,59,67,88.1,1,43,0,1,1,7fd1f0e9
Pau Cubarsí,2.0,es ESP,CB,18-007,22,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,19,20,95.0,3,16,1,0,0,7fd1f0e9
Ronald Araújo,4.0,uy URU,CB,25-328,90,1,0,0,0,1,1,0,0,85,2,1,0,0.2,0.2,0.0,0,0,70,72,97.2,0,62,0,0,0,7fd1f0e9
Jules Koundé,23.0,fr FRA,RB,26-078,90,0,0,0,0,0,0,0,0,113,1,1,2,0.0,0.0,0.0,2,0,95,107,88.8,5,88,2,0,0,7fd1f0e9
Wojciech Szczęsny,25.0,pl POL,GK,34-286,90,0,0,0,0,0,0,0,0,70,0,0,0,0.0,0.0,0.0,0,0,61,65,93.8,0,56,0,0,0,7fd1f0e9
16 Players,,,,,990,2,2,0,0,16,7,0,0,765,13,8,5,2.4,2.4,2.2,28,4,603,673,89.6,33,519,19,17,8,7fd1f0e9
