Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-003,90,1,0,0,0,6,2,1,0,36,0,0,0,1.2,1.2,0.0,3,0,15,26,57.7,1,16,0,0,0,87bc9bba
Ferrán Torres,7.0,es ESP,LW,24-177,62,0,0,0,0,1,1,0,0,26,0,0,0,0.0,0.0,0.0,2,0,16,21,76.2,1,13,0,4,3,87bc9bba
Fermin López,16.0,es ESP,AM,21-105,28,0,0,0,0,0,0,1,0,12,1,0,0,0.0,0.0,0.0,0,0,9,10,90.0,2,9,0,1,0,87bc9bba
Lamine Yamal,19.0,es ESP,RW,17-042,89,1,0,0,0,2,1,0,0,53,2,0,0,0.1,0.1,0.0,2,0,27,39,69.2,4,34,5,8,3,87bc9bba
Pau Victor,18.0,es ESP,RW,22-272,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,87bc9bba
Raphinha,11.0,br BRA,"AM,LW",27-254,90,0,0,0,0,4,1,0,0,63,3,2,1,0.5,0.5,0.9,5,1,38,49,77.6,9,35,2,5,3,87bc9bba
Pedri,8.0,es ESP,DM,21-273,90,0,0,0,0,0,0,0,0,62,2,1,1,0.0,0.0,0.5,4,0,46,54,85.2,10,35,3,3,2,87bc9bba
Marc Bernal,28.0,es ESP,DM,17-090,82,0,0,0,0,0,0,1,0,56,1,0,0,0.0,0.0,0.0,0,0,51,53,96.2,4,29,0,2,2,87bc9bba
Eric García,24.0,es ESP,DM,23-228,8,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,87bc9bba
Alejandro Balde,3.0,es ESP,LB,20-311,89,0,0,0,0,0,0,0,0,68,1,1,1,0.0,0.0,0.1,5,2,51,58,87.9,2,40,6,4,0,87bc9bba
Gerard Martín,35.0,es ESP,LB,22-236,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,87bc9bba
Iñigo Martínez,5.0,es ESP,CB,33-099,90,0,0,0,0,0,0,0,0,104,2,0,1,0.0,0.0,0.0,2,1,91,98,92.9,10,68,2,0,0,87bc9bba
Pau Cubarsí,2.0,es ESP,CB,17-215,90,0,0,0,0,0,0,1,0,91,1,0,0,0.0,0.0,0.0,0,0,82,88,93.2,2,51,0,0,0,87bc9bba
Jules Koundé,23.0,fr FRA,RB,25-286,90,0,0,0,0,0,0,0,0,79,3,1,3,0.0,0.0,0.1,1,0,61,69,88.4,8,31,1,2,0,87bc9bba
Marc-André ter Stegen,1.0,de GER,GK,32-116,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,37,38,97.4,0,27,0,0,0,87bc9bba
15 Players,,,,,990,2,0,0,0,13,5,4,0,700,17,5,7,1.8,1.8,1.6,24,4,527,609,86.5,53,389,19,29,13,87bc9bba
