Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Ferrán Torres,7.0,es ESP,FW,24-362,67,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,,aed791a0
Robert Lewandowski,9.0,pl POL,FW,36-188,23,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,,,aed791a0
Raphinha,11.0,br BRA,AM,28-073,84,0,2,0,0,3,1,0,0,0,1,0,5,0,2,0,,,aed791a0
Fermin López,16.0,es ESP,MF,21-290,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,aed791a0
Dani Olmo,20.0,es ESP,AM,26-294,67,0,0,0,0,2,1,0,0,3,1,0,1,0,0,0,,,aed791a0
Gavi,6.0,es ESP,"FW,MF",20-204,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,aed791a0
Lamine Yamal,19.0,es ESP,AM,17-227,90,0,1,0,0,3,1,0,0,2,3,0,4,0,1,0,,,aed791a0
Pedri,8.0,es ESP,DM,22-092,84,1,0,0,0,1,1,0,0,1,0,0,5,5,2,0,,,aed791a0
Eric García,24.0,es ESP,DF,24-047,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,aed791a0
Frenkie de Jong,21.0,nl NED,DM,27-289,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,aed791a0
Alejandro Balde,3.0,es ESP,LB,21-130,90,0,0,0,0,1,0,0,0,1,4,0,1,2,1,0,,,aed791a0
Iñigo Martínez,5.0,es ESP,CB,33-284,90,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,,,aed791a0
Pau Cubarsí,2.0,es ESP,CB,18-034,90,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,,,aed791a0
Jules Koundé,23.0,fr FRA,RB,26-105,90,0,1,0,0,0,0,0,0,3,0,0,2,1,0,0,,,aed791a0
Wojciech Szczęsny,25.0,pl POL,GK,34-313,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,aed791a0
15 Players,,,,,990,4,4,0,0,16,9,0,0,12,10,0,20,13,10,0,,,aed791a0
