Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-193,90,1,0,0,0,7,2,0,0,38,0,0,0,1.1,1.1,0.0,3,1,20,25,80.0,2,18,1,1,0,0b2c987f
Raphinha,11.0,br BRA,LM,28-078,58,0,0,0,0,2,0,0,0,56,0,0,1,0.1,0.1,0.0,3,0,35,50,70.0,0,25,2,2,0,0b2c987f
Ferrán Torres,7.0,es ESP,LM,25-001,32,0,0,0,0,4,1,0,0,19,0,0,0,0.3,0.3,0.0,2,0,12,15,80.0,1,10,0,0,0,0b2c987f
Pedri,8.0,es ESP,CM,22-097,58,0,0,0,0,3,1,0,0,80,2,1,2,0.2,0.2,0.1,3,0,64,70,91.4,15,55,1,2,0,0b2c987f
Frenkie de Jong,21.0,nl NED,CM,27-294,32,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.2,4,0,43,47,91.5,10,35,3,0,0,0b2c987f
Dani Olmo,20.0,es ESP,CM,26-299,70,0,2,0,0,5,2,0,0,48,0,0,0,0.4,0.4,0.4,7,2,35,38,92.1,5,31,4,0,0,0b2c987f
Fermin López,16.0,es ESP,CM,21-295,20,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.1,3,0,14,16,87.5,1,12,1,0,0,0b2c987f
Lamine Yamal,19.0,es ESP,RM,17-232,90,0,0,0,0,5,1,0,0,98,2,1,0,0.1,0.1,0.8,13,1,70,81,86.4,6,68,16,10,6,0b2c987f
Marc Casado,17.0,es ESP,DM,21-169,90,1,0,0,0,1,1,0,0,93,4,2,0,0.1,0.1,0.0,3,0,77,85,90.6,5,66,0,0,0,0b2c987f
Gerard Martín,35.0,es ESP,LB,23-060,90,1,0,0,0,3,1,0,0,73,1,1,0,0.2,0.2,0.0,4,0,63,67,94.0,1,44,0,2,2,0b2c987f
Pau Cubarsí,2.0,es ESP,CB,18-039,58,0,0,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.0,2,0,67,71,94.4,4,55,1,0,0,0b2c987f
Eric García,24.0,es ESP,CB,24-052,32,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,5,0,34,34,100.0,2,33,0,1,0,0b2c987f
Ronald Araújo,4.0,uy URU,CB,25-360,75,1,1,0,0,2,1,0,0,67,3,0,0,0.4,0.4,0.3,2,1,57,60,95.0,6,50,0,0,0,0b2c987f
Héctor Fort,32.0,es ESP,RB,18-212,15,0,0,0,0,1,0,0,0,24,1,0,0,0.0,0.0,0.0,2,0,21,22,95.5,0,15,0,0,0,0b2c987f
Jules Koundé,23.0,fr FRA,"RB,CB",26-110,90,0,0,0,0,0,0,0,0,98,1,1,0,0.0,0.0,0.0,2,0,79,90,87.8,11,59,0,0,0,0b2c987f
Wojciech Szczęsny,25.0,pl POL,GK,34-318,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,15,15,100.0,0,12,0,0,0,0b2c987f
16 Players,,,,,990,4,3,0,0,33,10,0,0,887,16,7,4,2.9,2.9,2.0,58,5,706,786,89.8,69,588,29,18,8,0b2c987f
