Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,"FW,LW",24-332,90,1,0,0,0,6,3,0,0,39,0,0,2,1.4,1.4,0.0,2,0,17,24,70.8,3,23,4,4,2,77dda45d
Raphinha,11.0,br BRA,LW,28-043,59,1,0,0,0,3,1,0,0,52,3,0,0,1.0,1.0,0.8,8,2,33,45,73.3,6,32,1,3,2,77dda45d
Robert Lewandowski,9.0,pl POL,FW,36-158,31,1,0,0,0,2,1,0,0,15,0,0,0,0.2,0.2,0.0,0,0,10,12,83.3,2,9,1,0,0,77dda45d
Lamine Yamal,19.0,es ESP,RW,17-197,70,0,1,0,0,3,1,0,0,47,1,0,0,0.1,0.1,0.7,5,1,29,37,78.4,3,35,3,9,5,77dda45d
Pau Victor,18.0,es ESP,RW,23-061,20,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.3,1,0,10,10,100.0,2,7,0,0,0,77dda45d
Fermin López,16.0,es ESP,AM,21-260,90,2,2,0,0,2,2,0,0,83,1,0,0,1.4,1.4,0.7,8,3,57,69,82.6,8,47,3,7,4,77dda45d
Frenkie de Jong,21.0,nl NED,DM,27-259,77,1,0,0,0,1,1,0,0,68,1,0,0,0.3,0.3,0.0,3,2,62,65,95.4,2,39,1,0,0,77dda45d
Pablo Torre,14.0,es ESP,DM,21-298,13,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,10,0,1,0,77dda45d
Marc Casado,17.0,es ESP,DM,21-134,90,0,0,0,0,2,0,0,0,93,1,2,0,0.0,0.0,0.0,2,0,74,82,90.2,2,46,0,0,0,77dda45d
Alejandro Balde,3.0,es ESP,LB,21-100,59,0,1,0,0,1,1,0,0,48,0,0,1,0.1,0.1,0.2,6,2,40,43,93.0,8,35,4,3,2,77dda45d
Gerard Martín,35.0,es ESP,LB,23-025,31,0,0,0,0,0,0,0,0,29,1,1,1,0.0,0.0,0.1,2,0,17,21,81.0,1,10,0,0,0,77dda45d
Pau Cubarsí,2.0,es ESP,CB,18-004,90,0,1,0,0,0,0,0,0,98,0,0,0,0.0,0.0,0.6,1,1,89,93,95.7,2,66,0,0,0,77dda45d
Eric García,24.0,es ESP,CB,24-017,90,0,0,0,0,1,0,0,0,109,2,1,2,0.2,0.2,0.0,0,0,92,99,92.9,3,71,0,0,0,77dda45d
Jules Koundé,23.0,fr FRA,RB,26-075,70,0,0,0,0,0,0,0,0,77,1,2,1,0.0,0.0,0.3,1,0,57,66,86.4,1,45,1,1,0,77dda45d
Héctor Fort,32.0,es ESP,RB,18-177,20,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,21,22,95.5,0,16,1,0,0,77dda45d
Wojciech Szczęsny,25.0,pl POL,GK,34-283,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,38,41,92.7,0,33,0,0,0,77dda45d
16 Players,,,,,990,6,5,0,0,22,11,0,0,849,11,6,8,4.7,4.7,3.8,40,11,656,741,88.5,43,524,19,28,15,77dda45d
