Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-237,85,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,1,0,16,20,80.0,2,14,2,0,0,a7b1cab8
Dani Olmo,20.0,es ESP,LW,26-343,5,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,a7b1cab8
Raphinha,11.0,br BRA,"LW,RW",28-122,90,0,0,0,0,2,1,0,0,49,0,1,0,0.1,0.1,0.0,0,0,25,37,67.6,3,27,3,1,0,a7b1cab8
Lamine Yamal,19.0,es ESP,RW,17-276,69,0,0,0,0,1,0,0,0,49,1,0,0,0.1,0.1,0.0,2,0,27,39,69.2,3,26,3,5,2,a7b1cab8
Ferrán Torres,7.0,es ESP,"LW,FW",25-045,21,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,a7b1cab8
Fermin López,16.0,es ESP,AM,21-339,69,0,0,0,0,2,0,0,0,57,2,0,1,0.2,0.2,0.0,1,0,44,47,93.6,6,25,5,4,2,a7b1cab8
Eric García,24.0,es ESP,CM,24-096,21,0,0,0,0,1,0,0,0,17,2,0,1,0.1,0.1,0.0,0,0,8,11,72.7,0,2,0,0,0,a7b1cab8
Gavi,6.0,es ESP,DM,20-253,58,0,0,0,0,0,0,0,0,38,4,0,2,0.0,0.0,0.1,1,0,25,27,92.6,2,21,2,1,0,a7b1cab8
Pedri,8.0,es ESP,"LM,DM",22-141,32,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,1,0,26,29,89.7,1,13,0,0,0,a7b1cab8
Frenkie de Jong,21.0,nl NED,"DM,RM",27-338,90,0,0,0,0,0,0,1,0,86,3,3,0,0.0,0.0,0.0,2,0,69,76,90.8,4,36,0,1,1,a7b1cab8
Gerard Martín,35.0,es ESP,LB,23-104,90,0,0,0,0,0,0,0,0,75,5,1,0,0.0,0.0,0.1,2,0,52,62,83.9,5,28,3,3,1,a7b1cab8
Pau Cubarsí,2.0,es ESP,CB,18-083,90,0,0,0,0,0,0,0,0,73,0,1,2,0.0,0.0,0.0,2,0,56,64,87.5,2,27,0,0,0,a7b1cab8
Ronald Araújo,4.0,uy URU,CB,26-039,90,0,0,0,0,1,1,0,0,50,2,0,1,0.0,0.0,0.0,0,0,31,39,79.5,0,23,0,0,0,a7b1cab8
Jules Koundé,23.0,fr FRA,RB,26-154,90,0,0,0,0,0,0,0,0,73,0,0,2,0.0,0.0,0.0,1,0,56,65,86.2,2,23,0,1,0,a7b1cab8
Wojciech Szczęsny,25.0,pl POL,GK,34-362,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,24,34,70.6,0,16,0,0,0,a7b1cab8
15 Players,,,,,990,0,0,0,0,7,2,1,0,667,21,6,11,0.5,0.5,0.3,13,0,461,552,83.5,30,285,18,17,6,a7b1cab8
