Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Ferrán Torres,7.0,es ESP,FW,25-056,114,1,0,0,0,4,1,0,0,1,1,1,1,0,0,0,,,71a91728
Pau Victor,18.0,es ESP,FW,23-151,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,71a91728
Raphinha,11.0,br BRA,AM,28-133,120,0,0,0,0,7,3,1,0,3,1,1,6,0,0,0,,,71a91728
Dani Olmo,20.0,es ESP,AM,26-354,64,0,0,0,0,1,0,0,0,2,3,0,5,1,1,0,,,71a91728
Fermin López,16.0,es ESP,MF,21-350,56,0,0,0,0,1,0,1,0,3,0,0,2,2,0,0,,,71a91728
Lamine Yamal,19.0,es ESP,AM,17-287,120,0,2,0,0,3,2,0,0,3,2,0,2,1,2,0,,,71a91728
Pedri,8.0,es ESP,DM,22-152,97,1,0,0,0,2,1,0,0,0,1,0,1,2,1,0,,,71a91728
Eric García,24.0,es ESP,DF,24-107,23,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,,,71a91728
Frenkie de Jong,21.0,nl NED,DM,27-349,84,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,,,71a91728
Gavi,6.0,es ESP,"FW,MF",20-264,36,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,71a91728
Gerard Martín,35.0,es ESP,LB,23-115,84,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,,,71a91728
Ronald Araújo,4.0,uy URU,DF,26-050,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,71a91728
Iñigo Martínez,5.0,es ESP,CB,33-344,120,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,,,71a91728
Pau Cubarsí,2.0,es ESP,CB,18-094,120,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,,,71a91728
Jules Koundé,23.0,fr FRA,RB,26-165,120,1,0,0,0,3,2,0,0,1,0,0,1,1,6,0,,,71a91728
Wojciech Szczęsny,25.0,pl POL,GK,35-008,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,71a91728
16 Players,,,,,1320,3,2,0,0,22,9,4,0,23,10,2,19,15,24,0,,,71a91728
