Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-185,90,0,0,0,0,4,1,0,0,22,0,0,0,0.4,0.4,0.0,0,0,10,13,76.9,1,10,0,0,0,6b455e82
Raphinha,11.0,br BRA,"LW,RW",28-070,89,0,1,0,0,3,1,0,0,54,2,0,0,0.2,0.2,0.2,5,1,32,47,68.1,6,30,1,1,1,6b455e82
Gerard Martín,35.0,es ESP,LB,23-052,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,6b455e82
Lamine Yamal,19.0,es ESP,RW,17-224,84,0,1,0,0,3,0,0,0,55,1,0,1,0.2,0.2,0.7,7,1,26,36,72.2,2,39,7,15,9,6b455e82
Ferrán Torres,7.0,es ESP,"LW,RW",24-359,6,1,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,0,0,6,7,85.7,1,5,0,0,0,6b455e82
Fermin López,16.0,es ESP,AM,21-287,45,0,0,0,0,1,0,0,0,30,0,0,1,0.0,0.0,0.0,0,0,19,24,79.2,1,12,1,3,1,6b455e82
Dani Olmo,20.0,es ESP,AM,26-291,45,1,0,0,0,1,1,0,0,37,2,0,0,0.4,0.4,0.0,2,1,22,29,75.9,3,23,2,2,2,6b455e82
Pedri,8.0,es ESP,DM,22-089,84,0,0,0,0,0,0,0,0,87,1,1,2,0.0,0.0,0.0,1,0,63,79,79.7,9,55,3,4,2,6b455e82
Frenkie de Jong,21.0,nl NED,DM,27-286,6,0,0,0,0,0,0,1,0,16,0,0,0,0.0,0.0,0.0,0,0,16,16,100.0,1,13,1,0,0,6b455e82
Marc Casado,17.0,es ESP,DM,21-161,90,0,0,0,0,0,0,0,0,93,3,2,2,0.0,0.0,0.0,3,0,79,84,94.0,5,50,2,1,1,6b455e82
Alejandro Balde,3.0,es ESP,LB,21-127,90,0,0,0,0,1,0,0,0,77,2,0,2,0.0,0.0,0.2,3,0,51,62,82.3,5,44,6,5,1,6b455e82
Pau Cubarsí,2.0,es ESP,CB,18-031,90,0,0,0,0,0,0,0,0,120,2,1,1,0.0,0.0,0.0,0,0,99,108,91.7,17,80,2,0,0,6b455e82
Eric García,24.0,es ESP,CB,24-044,90,0,0,0,0,1,1,0,0,110,1,1,0,0.0,0.0,0.0,0,0,95,102,93.1,10,66,0,0,0,6b455e82
Jules Koundé,23.0,fr FRA,RB,26-102,90,0,0,0,0,0,0,0,0,80,1,1,1,0.0,0.0,0.0,2,0,62,67,92.5,2,39,0,2,0,6b455e82
Wojciech Szczęsny,25.0,pl POL,GK,34-310,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,27,28,96.4,0,11,0,0,0,6b455e82
15 Players,,,,,990,2,2,0,0,15,5,1,0,824,15,6,10,1.4,1.4,1.2,23,3,610,705,86.5,63,478,25,33,17,6b455e82
