Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-006,90,0,0,0,0,1,0,0,0,30,0,0,1,0.0,0.0,0.0,1,0,10,19,52.6,1,9,1,2,0,f8fc00c7
Ferrán Torres,7.0,es ESP,LW,24-180,45,0,0,0,0,2,0,0,0,17,0,0,0,0.1,0.1,0.0,0,0,12,15,80.0,3,9,0,2,2,f8fc00c7
Dani Olmo,20.0,es ESP,AM,26-112,45,1,0,0,0,3,1,0,0,33,0,0,0,0.2,0.2,0.2,3,0,22,26,84.6,4,24,2,3,2,f8fc00c7
Lamine Yamal,19.0,es ESP,RW,17-045,89,0,1,0,0,5,1,0,0,72,0,1,1,0.3,0.3,0.3,13,2,45,59,76.3,7,45,6,11,7,f8fc00c7
Pau Victor,18.0,es ESP,RW,22-275,1,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,f8fc00c7
Raphinha,11.0,br BRA,"LW,AM",27-257,90,0,1,0,0,3,0,0,0,54,0,0,2,0.3,0.3,0.4,3,1,26,42,61.9,2,25,6,5,3,f8fc00c7
Pedri,8.0,es ESP,DM,21-276,89,1,0,0,0,2,1,0,0,78,1,1,2,0.3,0.3,0.2,8,1,52,62,83.9,10,38,3,2,1,f8fc00c7
Fermin López,16.0,es ESP,DM,21-108,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,3,0,1,1,f8fc00c7
Marc Bernal,28.0,es ESP,DM,17-093,90,0,0,0,0,2,1,1,0,69,3,1,4,0.1,0.1,0.0,1,0,48,55,87.3,3,33,0,0,0,f8fc00c7
Gerard Martín,35.0,es ESP,LB,22-239,64,0,0,0,0,0,0,0,0,48,0,0,1,0.0,0.0,0.0,3,0,38,45,84.4,5,11,0,1,0,f8fc00c7
Alejandro Balde,3.0,es ESP,LB,20-314,26,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,7,0,1,0,f8fc00c7
Iñigo Martínez,5.0,es ESP,CB,33-102,90,0,0,0,0,1,1,0,0,56,1,0,0,0.1,0.1,0.0,1,0,47,50,94.0,6,28,1,0,0,f8fc00c7
Pau Cubarsí,2.0,es ESP,CB,17-218,90,0,0,0,0,1,0,0,0,79,1,0,0,0.1,0.1,0.0,2,0,71,74,95.9,4,40,0,0,0,f8fc00c7
Jules Koundé,23.0,fr FRA,RB,25-289,90,0,0,0,0,2,0,0,0,92,2,0,0,0.1,0.1,0.1,7,0,63,79,79.7,9,30,1,1,0,f8fc00c7
Marc-André ter Stegen,1.0,de GER,GK,32-119,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,25,0,0,0,f8fc00c7
15 Players,,,,,990,2,2,0,0,22,5,1,0,684,8,3,12,1.4,1.4,1.2,43,4,478,575,83.1,55,329,20,29,16,f8fc00c7
