Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-172,70,1,0,0,0,1,1,0,0,14,0,1,0,0.6,0.6,0.0,0,0,5,7,71.4,1,7,0,0,0,57bc3e19
Dani Olmo,20.0,es ESP,"LW,AM",26-278,20,0,0,0,0,0,0,0,0,15,2,0,1,0.0,0.0,0.0,1,1,8,11,72.7,0,6,1,2,1,57bc3e19
Raphinha,11.0,br BRA,"LW,AM,RW",28-057,90,1,0,0,0,2,2,0,0,48,1,0,4,0.1,0.1,0.0,3,2,22,36,61.1,2,21,0,5,2,57bc3e19
Lamine Yamal,19.0,es ESP,RW,17-211,88,0,0,0,0,4,1,0,0,42,0,1,0,0.2,0.2,0.1,2,1,24,35,68.6,4,31,5,6,4,57bc3e19
Gerard Martín,35.0,es ESP,LB,23-039,2,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,57bc3e19
Gavi,6.0,es ESP,AM,20-188,45,0,0,0,0,0,0,1,0,20,1,0,0,0.0,0.0,0.0,1,0,11,15,73.3,0,5,0,1,0,57bc3e19
Fermin López,16.0,es ESP,AM,21-274,16,1,0,0,0,1,1,0,1,8,1,0,0,0.4,0.4,0.0,0,0,4,6,66.7,0,3,0,2,1,57bc3e19
Pedri,8.0,es ESP,DM,22-076,90,0,1,0,0,0,0,0,0,76,2,0,3,0.0,0.0,0.6,5,1,55,67,82.1,10,41,1,0,0,57bc3e19
Frenkie de Jong,21.0,nl NED,DM,27-273,70,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.0,0,0,40,44,90.9,3,36,3,0,0,57bc3e19
Eric García,24.0,es ESP,DM,24-031,20,1,0,0,0,1,1,1,0,17,2,1,2,0.5,0.5,0.0,0,0,6,8,75.0,0,3,0,0,0,57bc3e19
Alejandro Balde,3.0,es ESP,"LB,LW",21-114,90,0,0,0,0,0,0,0,0,59,0,0,0,0.0,0.0,0.0,4,1,42,48,87.5,0,38,4,6,2,57bc3e19
Iñigo Martínez,5.0,es ESP,CB,33-268,90,0,1,0,0,0,0,0,0,99,0,1,2,0.0,0.0,0.6,2,1,83,90,92.2,15,68,2,0,0,57bc3e19
Ronald Araújo,4.0,uy URU,CB,25-339,21,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,26,28,92.9,1,22,0,0,0,57bc3e19
Pau Cubarsí,2.0,es ESP,CB,18-018,69,0,1,0,0,0,0,0,0,67,2,0,0,0.0,0.0,0.1,1,1,55,59,93.2,4,50,4,0,0,57bc3e19
Jules Koundé,23.0,fr FRA,RB,26-089,90,0,0,0,0,1,0,0,0,71,1,1,2,0.1,0.1,0.0,0,0,59,67,88.1,5,38,0,0,0,57bc3e19
Wojciech Szczęsny,25.0,pl POL,GK,34-297,90,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,21,30,70.0,0,18,0,0,0,57bc3e19
16 Players,,,,,961,4,3,0,0,10,6,2,1,647,16,5,14,1.9,1.9,1.4,20,8,462,553,83.5,45,387,20,22,10,57bc3e19
