Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,35-362,90,2,0,1,1,3,1,0,0,26,1,0,0,1.8,1.0,0.1,5,0,15,17,88.2,2,16,0,0,0,6f0fac43
Ferrán Torres,7.0,es ESP,LW,24-170,63,0,0,0,0,1,1,0,0,21,0,0,0,0.2,0.2,0.0,3,1,11,16,68.8,1,9,3,0,0,6f0fac43
Pedri,8.0,es ESP,"LM,AM",21-266,27,0,0,0,0,1,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,15,20,75.0,0,14,3,0,0,6f0fac43
Lamine Yamal,19.0,es ESP,RW,17-035,85,0,1,0,0,4,1,0,0,60,1,0,0,0.4,0.4,1.1,9,1,40,46,87.0,4,45,2,9,3,6f0fac43
Pau Victor,18.0,es ESP,LW,22-265,5,0,0,0,0,0,0,0,0,8,1,0,2,0.0,0.0,0.1,2,0,5,6,83.3,2,6,0,2,1,6f0fac43
Raphinha,11.0,br BRA,"AM,LW,RW",27-247,90,0,0,0,0,2,1,0,0,61,1,0,1,0.1,0.1,0.4,4,1,35,52,67.3,6,30,1,1,0,6f0fac43
Marc Casado,17.0,es ESP,"DM,RM",20-338,90,0,0,0,0,3,0,0,0,79,4,0,0,0.6,0.6,0.1,5,0,52,62,83.9,10,41,1,3,2,6f0fac43
Marc Bernal,28.0,es ESP,DM,17-083,70,0,0,0,0,0,0,0,0,59,4,0,1,0.0,0.0,0.0,0,0,49,52,94.2,1,35,0,1,0,6f0fac43
Eric García,24.0,es ESP,CM,23-221,20,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,10,11,90.9,2,5,0,0,0,6f0fac43
Alejandro Balde,3.0,es ESP,LB,20-304,63,0,0,0,0,1,1,0,0,50,0,1,0,0.0,0.0,0.4,3,0,42,47,89.4,5,35,5,3,2,6f0fac43
Gerard Martín,35.0,es ESP,LB,22-229,27,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.2,1,0,17,20,85.0,2,6,0,0,0,6f0fac43
Iñigo Martínez,5.0,es ESP,CB,33-092,90,0,0,0,0,1,0,0,0,90,0,1,0,0.1,0.1,0.0,1,0,75,85,88.2,7,58,0,0,0,6f0fac43
Pau Cubarsí,2.0,es ESP,CB,17-208,63,0,0,0,0,1,0,1,0,58,0,0,1,0.0,0.0,0.0,0,0,44,51,86.3,3,36,0,0,0,6f0fac43
Andreas Christensen,15.0,dk DEN,CB,28-129,27,0,0,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,9,0,0,0,6f0fac43
Jules Koundé,23.0,fr FRA,RB,25-279,90,0,0,0,0,0,0,1,0,82,1,1,1,0.0,0.0,0.0,0,0,68,75,90.7,5,47,1,2,1,6f0fac43
Marc-André ter Stegen,1.0,de GER,GK,32-109,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,34,41,82.9,0,27,0,0,0,6f0fac43
16 Players,,,,,990,2,1,1,1,17,5,3,0,714,14,4,9,3.2,2.4,2.3,33,3,526,617,85.3,50,419,16,21,9,6f0fac43
