Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Raphinha,11.0,br BRA,FW,28-054,63,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,,,473eba51
Dani Olmo,20.0,es ESP,"FW,MF",26-275,27,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,473eba51
Ferrán Torres,7.0,es ESP,FW,24-343,90,3,0,0,0,3,3,0,0,1,0,0,1,0,0,0,,,473eba51
Lamine Yamal,19.0,es ESP,FW,17-208,90,1,0,0,0,6,4,0,0,0,0,2,0,0,0,0,,,473eba51
Pedri,8.0,es ESP,CM,22-073,63,0,1,0,0,0,0,0,0,0,4,0,1,1,2,0,,,473eba51
Marc Casado,17.0,es ESP,MF,21-145,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,473eba51
Frenkie de Jong,21.0,nl NED,CM,27-270,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,,473eba51
Fermin López,16.0,es ESP,CM,21-271,90,1,0,0,0,2,1,0,0,1,0,0,1,1,0,0,,,473eba51
Alejandro Balde,3.0,es ESP,LB,21-111,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,473eba51
Gerard Martín,35.0,es ESP,DF,23-036,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,473eba51
Pau Cubarsí,2.0,es ESP,CB,18-015,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,473eba51
Iñigo Martínez,5.0,es ESP,DF,33-265,45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,473eba51
Eric García,24.0,es ESP,CB,24-028,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,473eba51
Jules Koundé,23.0,fr FRA,RB,26-086,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,473eba51
Héctor Fort,32.0,es ESP,DF,18-188,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,,,473eba51
Wojciech Szczęsny,25.0,pl POL,GK,34-294,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,473eba51
16 Players,,,,,990,5,4,0,0,17,9,0,0,7,6,2,4,5,4,0,,,473eba51
