Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-032,90,2,0,0,1,3,3,0,0,28,0,0,0,2.3,1.5,0.0,1,0,16,21,76.2,2,13,1,3,3,79c38937
Raphinha,11.0,br BRA,"LW,RM",27-283,90,2,0,0,0,6,4,0,0,52,1,0,1,1.3,1.3,0.2,3,0,28,38,73.7,5,25,5,4,2,79c38937
Lamine Yamal,19.0,es ESP,RW,17-071,90,0,1,0,0,2,0,0,0,55,0,1,1,0.2,0.2,0.9,7,2,32,44,72.7,6,40,10,3,1,79c38937
Pedri,8.0,es ESP,LM,21-302,58,0,1,0,0,1,0,0,0,68,1,1,0,0.0,0.0,0.2,4,2,58,66,87.9,7,44,2,0,0,79c38937
Marc Casado,17.0,es ESP,LM,21-008,32,0,0,0,0,0,0,0,0,36,2,1,1,0.0,0.0,0.0,1,0,30,31,96.8,5,24,0,0,0,79c38937
Eric García,24.0,es ESP,CM,23-257,90,0,0,0,0,2,1,0,0,63,4,0,1,0.2,0.2,0.0,4,2,46,50,92.0,2,27,0,1,0,79c38937
Pablo Torre,14.0,es ESP,RM,21-172,58,1,1,0,0,1,1,0,0,41,2,0,0,0.1,0.1,0.3,2,1,30,35,85.7,2,25,2,2,1,79c38937
Pau Victor,18.0,es ESP,LW,22-301,32,0,1,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.1,1,1,10,10,100.0,0,7,0,1,1,79c38937
Gerard Martín,35.0,es ESP,LB,22-265,90,0,0,0,0,0,0,0,0,78,2,1,1,0.0,0.0,0.0,2,1,59,64,92.2,3,40,2,1,0,79c38937
Iñigo Martínez,5.0,es ESP,CB,33-128,80,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,2,0,71,75,94.7,8,51,2,0,0,79c38937
Héctor Fort,32.0,es ESP,RB,18-051,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,2,5,0,0,0,79c38937
Sergi Dominguez,36.0,es ESP,CB,19-174,58,0,0,0,0,0,0,0,0,60,1,2,0,0.0,0.0,0.0,0,0,52,55,94.5,4,38,0,0,0,79c38937
Pau Cubarsí,2.0,es ESP,CB,17-244,32,0,0,0,0,0,0,0,0,26,1,2,0,0.0,0.0,0.0,0,0,20,23,87.0,1,13,0,0,0,79c38937
Jules Koundé,23.0,fr FRA,"RB,CB",25-315,90,0,0,0,0,1,0,0,0,91,1,1,1,0.0,0.0,0.3,2,0,72,79,91.1,10,50,3,1,1,79c38937
Marc-André ter Stegen,1.0,de GER,GK,32-145,44,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,15,100.0,0,5,0,0,0,79c38937
Iñaki Peña,13.0,es ESP,GK,25-204,46,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,19,0,0,0,79c38937
16 Players,,,,,990,5,4,0,1,16,9,1,0,748,15,9,6,4.1,3.3,2.0,29,9,575,644,89.3,57,426,27,16,9,79c38937
