Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Ferrán Torres,7.0,es ESP,FW,25-312,90,1,0,0,0,1,1,0,0,2,0,1,0,0,1,,,,f4f02446
Raphinha,11.0,br BRA,AM,29-024,64,2,1,0,0,3,2,0,0,0,1,0,6,0,1,,,,f4f02446
Marcus Rashford,14.0,eng ENG,"FW,MF",28-068,26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,f4f02446
Fermin López,16.0,es ESP,AM,22-241,90,1,2,0,0,4,2,0,0,1,1,0,3,1,0,,,,f4f02446
Roony Bardghji,28.0,se SWE,AM,20-053,71,1,2,0,0,1,1,0,0,0,0,0,4,0,1,,,,f4f02446
Lamine Yamal,10.0,es ESP,"FW,MF",18-178,19,0,0,0,0,1,0,0,0,0,1,0,0,2,0,,,,f4f02446
Pedri,8.0,es ESP,DM,23-043,71,0,0,0,0,2,1,0,0,0,0,0,0,2,1,,,,f4f02446
Dani Olmo,20.0,es ESP,"FW,MF",27-245,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,f4f02446
Frenkie de Jong,21.0,nl NED,DM,28-240,63,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,f4f02446
Marc Bernal,22.0,es ESP,MF,18-226,27,0,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,f4f02446
Alejandro Balde,3.0,es ESP,LB,22-081,63,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,,f4f02446
Gerard Martín,18.0,es ESP,DF,24-006,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,f4f02446
Eric García,24.0,es ESP,CB,24-363,90,0,0,0,0,0,0,0,0,2,1,0,0,3,1,,,,f4f02446
Pau Cubarsí,5.0,es ESP,CB,18-350,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,,,f4f02446
Jules Koundé,23.0,fr FRA,RB,27-056,90,0,0,0,0,0,0,0,0,0,1,1,1,2,1,,,,f4f02446
Joan García,13.0,es ESP,GK,24-248,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,f4f02446
16 Players,,,,,990,5,5,0,0,13,7,0,0,8,7,2,17,11,10,,,,f4f02446
