Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-110,65,0,0,0,0,2,0,0,0,18,0,0,0,0.2,0.2,0.2,3,0,10,13,76.9,2,9,0,1,0,f302a362
Ferrán Torres,7.0,es ESP,FW,25-283,25,0,0,0,0,3,1,0,0,18,0,0,0,0.2,0.2,0.0,1,0,7,10,70.0,2,5,0,1,0,f302a362
Raphinha,11.0,br BRA,"LW,AM",28-360,65,0,0,0,0,4,1,0,0,46,1,0,0,0.2,0.2,0.0,1,0,26,36,72.2,2,29,3,1,0,f302a362
Frenkie de Jong,21.0,nl NED,AM,28-211,25,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.1,2,0,16,20,80.0,3,10,0,0,0,f302a362
Lamine Yamal,10.0,es ESP,RW,18-149,88,0,1,0,0,2,0,1,0,104,1,0,0,0.0,0.0,0.2,5,1,71,81,87.7,8,72,4,9,3,f302a362
Roony Bardghji,28.0,se SWE,RW,20-024,2,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,f302a362
Fermin López,16.0,es ESP,AM,22-212,45,0,0,0,0,1,0,0,0,35,0,0,0,0.3,0.3,0.0,1,0,28,31,90.3,4,17,0,3,2,f302a362
Marcus Rashford,14.0,eng ENG,LW,28-039,45,0,1,0,0,1,0,0,0,37,0,0,2,0.1,0.1,0.4,3,1,23,30,76.7,3,23,0,5,2,f302a362
Pedri,8.0,es ESP,DM,23-014,90,0,0,0,0,1,1,0,0,102,2,1,1,0.1,0.1,0.0,6,1,74,92,80.4,14,65,2,2,2,f302a362
Eric García,24.0,es ESP,DM,24-334,90,0,0,0,0,1,0,0,0,126,2,2,1,0.1,0.1,0.1,3,0,110,115,95.7,19,79,1,0,0,f302a362
Alejandro Balde,3.0,es ESP,LB,22-052,88,0,0,0,0,1,1,0,0,69,0,0,1,0.1,0.1,0.0,1,0,55,60,91.7,1,44,1,6,4,f302a362
Andreas Christensen,15.0,dk DEN,"CB,LB",29-243,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,f302a362
Gerard Martín,18.0,es ESP,"CB,LB",23-342,90,0,0,0,0,1,1,1,0,129,0,1,2,0.0,0.0,0.0,1,1,108,119,90.8,14,69,1,0,0,f302a362
Pau Cubarsí,5.0,es ESP,CB,18-321,90,0,0,0,0,0,0,0,0,136,1,0,0,0.0,0.0,0.0,2,0,119,122,97.5,6,76,0,0,0,f302a362
Jules Koundé,23.0,fr FRA,RB,27-027,90,2,0,0,0,2,2,0,0,122,3,1,2,0.3,0.3,0.4,4,0,95,105,90.5,15,74,6,1,1,f302a362
Joan García,13.0,es ESP,GK,24-219,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,17,0,0,0,f302a362
16 Players,,,,,990,2,2,0,0,19,7,2,0,999,11,5,10,1.5,1.5,1.4,33,4,770,867,88.8,93,592,18,29,14,f302a362
