Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-031,90,0,0,0,0,2,1,0,0,19,0,0,0,0.4,0.4,0.0,2,0,10,12,83.3,0,14,2,2,1,0c64b4c3
Ferrán Torres,7.0,es ESP,LW,25-204,59,2,0,0,0,4,2,0,0,35,2,0,0,1.0,1.0,0.0,1,0,18,24,75.0,0,22,1,2,0,0c64b4c3
Fermin López,16.0,es ESP,"LM,LW",22-133,31,0,0,0,0,1,0,0,0,31,0,0,1,0.0,0.0,0.1,5,0,23,25,92.0,3,24,3,4,3,0c64b4c3
Raphinha,11.0,br BRA,RW,28-281,45,0,1,0,0,1,0,1,0,36,1,0,0,0.0,0.0,0.3,3,2,19,26,73.1,1,18,1,4,1,0c64b4c3
Marcus Rashford,14.0,eng ENG,"RW,LW",27-325,45,0,0,0,0,2,2,0,0,22,0,0,0,0.2,0.2,0.0,0,0,14,15,93.3,1,14,2,1,0,0c64b4c3
Dani Olmo,20.0,es ESP,"LM,RM",27-137,90,1,1,0,0,4,1,0,0,84,2,0,0,0.3,0.3,0.4,5,1,53,67,79.1,7,56,4,4,1,0c64b4c3
Frenkie de Jong,21.0,nl NED,CM,28-132,59,0,0,0,0,0,0,0,0,74,1,0,0,0.0,0.0,0.0,1,0,65,71,91.5,6,46,0,0,0,0c64b4c3
Marc Casado,17.0,es ESP,CM,22-007,31,0,0,0,0,1,0,0,0,39,0,0,0,0.0,0.0,0.0,1,1,37,38,97.4,2,28,0,0,0,0c64b4c3
Pedri,8.0,es ESP,RM,22-300,75,0,0,0,0,0,0,0,0,102,0,0,4,0.0,0.0,0.7,6,0,89,97,91.8,6,67,4,0,0,0c64b4c3
Roony Bardghji,28.0,se SWE,RW,19-310,15,0,0,0,0,1,1,0,0,15,0,0,0,0.0,0.0,0.0,1,0,10,10,100.0,2,15,2,6,2,0c64b4c3
Gerard Martín,18.0,es ESP,LB,23-263,82,0,0,0,0,0,0,0,0,72,1,2,0,0.0,0.0,0.1,2,0,54,63,85.7,4,40,0,2,1,0c64b4c3
Ronald Araújo,4.0,uy URU,CB,26-198,8,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,8,10,80.0,0,7,0,0,0,0c64b4c3
Andreas Christensen,15.0,dk DEN,CB,29-164,90,0,0,0,0,0,0,1,0,94,2,1,0,0.0,0.0,0.0,0,0,83,86,96.5,3,74,0,0,0,0c64b4c3
Eric García,24.0,es ESP,"CB,LB",24-255,90,0,0,0,0,0,0,0,0,114,2,3,1,0.0,0.0,0.0,3,2,98,105,93.3,7,84,0,0,0,0c64b4c3
Jules Koundé,23.0,fr FRA,RB,26-313,90,0,0,0,0,0,0,0,0,109,1,0,2,0.0,0.0,0.0,2,0,80,93,86.0,6,62,3,4,2,0c64b4c3
Joan García,13.0,es ESP,GK,24-140,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,32,33,97.0,0,24,0,0,0,0c64b4c3
16 Players,,,,,990,3,2,0,0,16,7,2,0,892,12,7,8,2.0,2.0,1.7,32,6,693,775,89.4,48,595,22,29,11,0c64b4c3
