Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-287,90,0,0,0,0,2,0,0,0,15,0,0,0,0.5,0.5,0.1,1,0,9,11,81.8,0,8,0,0,0,dd618b82
Marcus Rashford,14.0,eng ENG,LW,28-043,73,0,0,0,0,3,1,0,0,71,1,0,1,0.4,0.4,0.1,6,0,44,59,74.6,6,48,6,3,2,dd618b82
Frenkie de Jong,21.0,nl NED,DM,28-215,17,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,2,15,1,0,0,dd618b82
Lamine Yamal,10.0,es ESP,RW,18-153,90,0,0,0,0,5,3,0,0,94,1,1,2,0.3,0.3,0.4,13,1,50,70,71.4,9,70,10,12,6,dd618b82
Raphinha,11.0,br BRA,"AM,LW",28-364,87,2,0,0,0,7,2,0,0,61,0,0,1,1.1,1.1,0.1,1,0,37,46,80.4,5,26,2,1,0,dd618b82
Marc Casado,17.0,es ESP,"DM,LW",22-090,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,dd618b82
Pedri,8.0,es ESP,DM,23-018,87,0,1,0,0,1,1,0,0,94,1,2,1,0.0,0.0,0.1,5,1,77,86,89.5,15,61,4,1,1,dd618b82
Roony Bardghji,28.0,se SWE,LW,20-028,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,dd618b82
Eric García,24.0,es ESP,"DM,CB",24-338,90,0,0,0,0,2,0,0,0,90,2,2,0,0.0,0.0,0.0,5,1,76,81,93.8,7,43,0,0,0,dd618b82
Alejandro Balde,3.0,es ESP,LB,22-056,87,0,0,0,0,1,0,0,0,87,2,0,0,0.0,0.0,0.0,4,0,76,81,93.8,21,44,7,1,0,dd618b82
Andreas Christensen,15.0,dk DEN,"CB,LB",29-247,3,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,3,0,0,0,dd618b82
Gerard Martín,18.0,es ESP,"CB,LB",23-346,90,0,0,0,0,1,0,0,0,106,3,4,0,0.0,0.0,0.0,2,0,93,98,94.9,7,65,4,0,0,dd618b82
Pau Cubarsí,5.0,es ESP,CB,18-325,74,0,0,0,0,2,0,0,0,91,0,1,0,0.1,0.1,0.0,0,0,78,84,92.9,5,57,2,0,0,dd618b82
Fermin López,16.0,es ESP,AM,22-216,16,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,1,4,0,0,0,dd618b82
Jules Koundé,23.0,fr FRA,RB,27-031,90,0,0,0,0,0,0,0,0,106,1,2,0,0.0,0.0,0.4,3,1,92,103,89.3,10,51,1,1,0,dd618b82
Joan García,13.0,es ESP,GK,24-223,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,21,23,91.3,0,16,0,0,0,dd618b82
16 Players,,,,,990,2,1,0,0,24,7,0,0,887,12,12,5,2.4,2.4,1.2,41,4,694,787,88.2,88,517,37,19,9,dd618b82
