Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,"FW,LW",25-214,90,1,0,0,0,3,1,0,0,36,1,1,0,0.8,0.8,0.0,4,0,16,23,69.6,2,16,0,2,1,01f948be
Marcus Rashford,14.0,eng ENG,LW,27-335,71,0,1,0,0,2,0,0,0,34,0,0,0,0.1,0.1,0.4,4,1,18,26,69.2,4,14,4,6,3,01f948be
Robert Lewandowski,9.0,pl POL,FW,37-041,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,3,0,0,0,01f948be
Lamine Yamal,10.0,es ESP,RW,18-080,90,0,0,0,0,4,0,1,0,58,1,1,1,0.1,0.1,0.4,6,0,31,44,70.5,7,35,4,6,4,01f948be
Dani Olmo,20.0,es ESP,AM,27-147,71,0,0,0,0,3,0,1,0,32,2,0,1,0.2,0.2,0.0,1,0,18,24,75.0,0,14,2,3,1,01f948be
Marc Casado,17.0,es ESP,DM,22-017,19,0,0,0,0,0,0,1,0,11,1,0,2,0.0,0.0,0.0,0,0,5,6,83.3,0,2,0,0,0,01f948be
Pedri,8.0,es ESP,"DM,AM",22-310,78,0,0,0,0,0,0,0,0,53,3,0,1,0.0,0.0,0.1,3,1,42,45,93.3,5,26,0,4,2,01f948be
Marc Bernal,22.0,es ESP,AM,18-128,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0,01f948be
Frenkie de Jong,21.0,nl NED,DM,28-142,90,0,0,0,0,0,0,1,0,42,0,3,0,0.0,0.0,0.0,0,0,37,40,92.5,4,20,2,0,0,01f948be
Gerard Martín,18.0,es ESP,LB,23-273,71,0,0,0,0,0,0,0,0,48,2,3,2,0.0,0.0,0.0,1,0,31,32,96.9,1,16,0,2,1,01f948be
Alejandro Balde,3.0,es ESP,LB,21-348,19,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,8,8,100.0,1,4,1,2,1,01f948be
Pau Cubarsí,5.0,es ESP,CB,18-252,90,0,0,0,0,0,0,0,0,54,2,1,2,0.0,0.0,0.0,0,0,44,47,93.6,2,23,0,0,0,01f948be
Eric García,24.0,es ESP,CB,24-265,85,0,0,0,0,0,0,0,0,71,2,2,1,0.0,0.0,0.0,1,0,56,60,93.3,3,38,1,1,1,01f948be
Andreas Christensen,15.0,dk DEN,CB,29-174,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,01f948be
Jules Koundé,23.0,fr FRA,RB,26-323,90,0,0,0,0,0,0,0,0,56,4,1,1,0.0,0.0,0.0,1,0,41,46,89.1,1,23,1,1,0,01f948be
Wojciech Szczęsny,25.0,pl POL,GK,35-166,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,31,39,79.5,0,22,0,0,0,01f948be
16 Players,,,,,990,1,1,0,0,12,1,4,0,562,18,12,12,1.3,1.3,0.9,22,2,387,449,86.2,30,259,15,27,14,01f948be
