Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-080,90,3,0,1,1,5,4,1,0,27,0,0,0,1.9,1.1,0.1,4,0,9,14,64.3,0,10,1,1,0,12962665
Marcus Rashford,14.0,eng ENG,LW,28-009,87,0,2,0,0,4,1,1,0,53,1,0,1,0.6,0.6,0.6,8,3,33,40,82.5,1,23,5,4,1,12962665
Ferrán Torres,7.0,es ESP,LW,25-253,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,12962665
Lamine Yamal,10.0,es ESP,RW,18-119,89,1,0,0,0,4,2,0,0,92,1,3,0,0.4,0.4,0.0,5,0,67,78,85.9,7,48,6,8,1,12962665
Marc Bernal,22.0,es ESP,LM,18-167,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,12962665
Dani Olmo,20.0,es ESP,LM,27-186,85,0,0,0,0,3,1,0,0,89,1,1,1,0.2,0.2,0.2,3,0,65,76,85.5,5,46,1,5,0,12962665
Andreas Christensen,15.0,dk DEN,"LM,CM",29-213,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,12962665
Frenkie de Jong,21.0,nl NED,CM,28-181,89,0,0,0,0,1,0,2,1,126,2,1,0,0.0,0.0,0.1,4,0,116,120,96.7,5,67,2,1,1,12962665
Fermin López,16.0,es ESP,RM,22-182,90,0,0,0,0,3,0,0,0,64,4,0,0,0.3,0.3,0.7,4,2,45,52,86.5,4,19,0,1,1,12962665
Alejandro Balde,3.0,es ESP,LB,22-022,85,0,0,0,0,0,0,0,0,84,1,1,0,0.0,0.0,0.0,4,2,67,75,89.3,8,33,2,3,2,12962665
Gerard Martín,18.0,es ESP,LB,23-312,5,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,0,2,0,0,0,12962665
Pau Cubarsí,5.0,es ESP,CB,18-291,90,0,0,0,0,0,0,1,0,91,0,3,0,0.0,0.0,0.0,1,0,81,87,93.1,0,45,2,0,0,12962665
Ronald Araújo,4.0,uy URU,CB,26-247,90,0,0,0,0,0,0,0,0,84,2,2,1,0.0,0.0,0.0,1,0,71,73,97.3,3,41,0,0,0,12962665
Eric García,24.0,es ESP,RB,24-304,90,0,0,0,0,0,0,0,0,109,3,1,3,0.0,0.0,0.0,2,0,87,95,91.6,6,31,1,2,1,12962665
Wojciech Szczęsny,25.0,pl POL,GK,35-205,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,25,33,75.8,0,24,0,0,0,12962665
15 Players,,,,,989,4,2,1,1,20,8,5,1,869,15,12,6,3.3,2.5,1.7,38,7,677,756,89.6,39,389,20,25,7,12962665
