Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-096,61,0,0,0,0,1,0,0,0,18,1,0,1,0.1,0.1,0.0,0,0,10,13,76.9,1,3,0,0,0,1d5355d4
Raphinha,11.0,br BRA,"LW,RW",28-346,29,0,0,0,0,1,1,0,0,16,3,0,1,0.0,0.0,0.0,0,0,5,9,55.6,0,3,0,0,0,1d5355d4
Ferrán Torres,7.0,es ESP,LW,25-269,45,0,0,0,0,1,0,0,0,20,1,0,2,0.4,0.4,0.1,1,0,5,10,50.0,0,7,0,0,0,1d5355d4
Marcus Rashford,14.0,eng ENG,"FW,LW",28-025,45,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,9,13,69.2,0,6,0,1,1,1d5355d4
Lamine Yamal,10.0,es ESP,RW,18-135,79,0,0,0,0,1,1,0,0,57,4,1,1,0.1,0.1,0.5,3,0,28,39,71.8,2,29,4,9,4,1d5355d4
Dani Olmo,20.0,es ESP,LW,27-202,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,2,0,5,7,71.4,1,4,0,0,0,1d5355d4
Fermin López,16.0,es ESP,AM,22-198,61,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.0,0,0,20,24,83.3,1,10,0,1,0,1d5355d4
Andreas Christensen,15.0,dk DEN,DM,29-229,29,0,0,0,0,1,0,0,0,11,2,0,1,0.0,0.0,0.0,0,0,7,9,77.8,0,4,1,0,0,1d5355d4
Frenkie de Jong,21.0,nl NED,DM,28-197,90,0,0,0,0,0,0,0,0,61,2,0,2,0.0,0.0,0.0,0,0,48,52,92.3,2,41,0,1,1,1d5355d4
Eric García,24.0,es ESP,"CB,DM",24-320,90,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.0,0,0,31,32,96.9,1,14,0,0,0,1d5355d4
Alejandro Balde,3.0,es ESP,LB,22-038,79,0,0,0,0,0,0,0,0,44,2,0,1,0.0,0.0,0.0,1,0,29,35,82.9,4,21,3,2,2,1d5355d4
Gerard Martín,18.0,es ESP,LB,23-328,11,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,8,10,80.0,0,6,0,1,1,1d5355d4
Pau Cubarsí,5.0,es ESP,CB,18-307,90,0,0,0,0,0,0,0,0,71,4,2,2,0.0,0.0,0.0,1,0,54,61,88.5,2,25,0,0,0,1d5355d4
Ronald Araújo,4.0,uy URU,CB,26-263,43,0,0,0,0,0,0,2,1,28,0,1,0,0.0,0.0,0.0,0,0,22,26,84.6,2,14,0,0,0,1d5355d4
Jules Koundé,23.0,fr FRA,RB,27-013,90,0,0,0,0,0,0,0,0,71,4,2,0,0.0,0.0,0.0,0,0,54,58,93.1,2,32,1,1,1,1d5355d4
Joan García,13.0,es ESP,GK,24-205,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,33,42,78.6,0,26,0,0,0,1d5355d4
16 Players,,,,,943,0,0,0,0,5,2,2,1,544,26,7,12,0.7,0.7,0.7,9,0,368,440,83.6,18,245,9,16,10,1d5355d4
