Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Marcus Rashford,14.0,eng ENG,FW,28-046,90,1,0,0,0,4,4,0,0,2,0,0,7,0,0,0,,,23104cfb
Fermin López,16.0,es ESP,AM,22-219,90,0,0,0,0,5,0,0,0,1,0,0,6,1,1,0,,,23104cfb
Lamine Yamal,10.0,es ESP,AM,18-156,90,0,1,0,0,3,0,0,0,0,4,0,10,0,0,0,,,23104cfb
Roony Bardghji,28.0,se SWE,AM,20-031,74,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,,,23104cfb
Pedri,8.0,es ESP,MF,23-021,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23104cfb
Frenkie de Jong,21.0,nl NED,DM,28-218,90,0,1,0,0,0,0,0,0,0,2,0,3,2,0,0,,,23104cfb
Marc Bernal,22.0,es ESP,DM,18-204,45,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,,,23104cfb
Pau Cubarsí,5.0,es ESP,DF,18-328,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,23104cfb
Jofre Torrents,26.0,es ESP,LB,18-322,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23104cfb
Alejandro Balde,3.0,es ESP,DF,22-059,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23104cfb
Andreas Christensen,15.0,dk DEN,CB,29-250,85,1,0,0,0,4,2,0,0,1,1,0,0,2,2,0,,,23104cfb
Gerard Martín,18.0,es ESP,DF,23-349,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23104cfb
Eric García,24.0,es ESP,CB,24-341,90,0,0,0,0,3,2,0,0,1,1,0,3,0,0,0,,,23104cfb
Marc Casado,17.0,es ESP,RB,22-093,74,0,0,0,0,0,0,0,0,2,1,0,5,2,0,0,,,23104cfb
Jules Koundé,23.0,fr FRA,DF,27-034,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,23104cfb
Marc-André ter Stegen,1.0,de GER,GK,33-230,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23104cfb
16 Players,,,,,990,2,2,0,0,21,9,1,0,9,11,2,37,8,5,0,,,23104cfb
