Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-295,61,0,0,0,0,2,0,0,0,14,0,0,0,0.5,0.5,0.0,0,0,6,10,60.0,0,5,0,1,1,2b07e944
Robert Lewandowski,9.0,pl POL,FW,37-122,29,0,0,0,0,1,0,0,0,8,0,0,0,0.2,0.2,0.0,2,1,7,7,100.0,1,4,0,1,1,2b07e944
Raphinha,11.0,br BRA,"LW,AM",29-007,90,1,0,1,1,3,0,0,0,72,0,0,0,0.9,0.1,0.4,4,1,50,59,84.7,7,43,7,4,1,2b07e944
Lamine Yamal,10.0,es ESP,RW,18-161,90,1,0,0,0,4,2,0,0,117,3,0,1,0.4,0.4,0.7,11,1,82,100,82.0,10,76,10,14,9,2b07e944
Fermin López,16.0,es ESP,AM,22-224,62,0,0,0,0,3,1,0,0,47,2,0,2,0.2,0.2,0.0,3,0,30,36,83.3,5,26,1,1,1,2b07e944
Marcus Rashford,14.0,eng ENG,LW,28-051,28,0,0,0,0,2,0,0,0,37,0,0,0,0.1,0.1,0.1,2,0,27,30,90.0,2,20,0,2,0,2b07e944
Frenkie de Jong,21.0,nl NED,DM,28-223,90,0,1,0,0,1,0,0,0,107,2,0,1,0.2,0.2,0.6,8,1,94,98,95.9,22,61,2,0,0,2b07e944
Eric García,24.0,es ESP,DM,24-346,65,0,0,0,0,1,0,1,0,79,0,5,3,0.1,0.1,0.1,3,0,55,63,87.3,7,37,0,0,0,2b07e944
Marc Bernal,22.0,es ESP,DM,18-209,25,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,43,45,95.6,4,28,0,0,0,2b07e944
Alejandro Balde,3.0,es ESP,LB,22-064,90,0,0,0,0,1,0,0,0,89,2,0,0,0.1,0.1,0.0,2,0,71,79,89.9,2,37,2,4,2,2b07e944
Gerard Martín,18.0,es ESP,CB,23-354,90,0,0,0,0,0,0,0,0,86,1,0,0,0.0,0.0,0.0,0,0,74,80,92.5,6,53,1,0,0,2b07e944
Pau Cubarsí,5.0,es ESP,CB,18-333,90,0,0,0,0,0,0,0,0,103,0,1,2,0.0,0.0,0.0,0,0,87,94,92.6,4,62,1,0,0,2b07e944
Jules Koundé,23.0,fr FRA,RB,27-039,78,0,0,0,0,0,0,0,0,93,3,0,1,0.0,0.0,0.0,0,0,80,83,96.4,6,45,0,1,1,2b07e944
Marc Casado,17.0,es ESP,RB,22-098,12,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,26,28,92.9,0,9,0,0,0,2b07e944
Joan García,13.0,es ESP,GK,24-231,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,20,21,95.2,0,16,0,0,0,2b07e944
15 Players,,,,,990,2,1,1,1,18,3,1,0,954,13,6,10,2.7,1.9,1.9,35,4,752,833,90.3,76,522,24,28,16,2b07e944
