x,y
68,51
68,8
68,40
68,16
68,35
68,11
68,6
68,21
68,20
68,9
68,26
68,14
68,50
68,5
68,39
68,24
62,53
62,8
62,37
62,4
62,54
62,16
62,6
62,19
62,7
70,19
70,5
70,15
70,2
70,49
70,4
70,6
70,30
70,1
70,32
70,20
71,12
71,8
71,13
71,23
71,45
71,14
71,27
71,29
71,5
71,3
71,16
71,11
78,23
78,24
78,29
78,3
78,0
78,80
78,16
78,11
78,9
59,11
59,8
59,9
59,5
59,21
52,21
52,23
52,6
61,15
61,9
61,17
61,13
61,20
61,8
61,7
61,5
61,61
81,6
81,10
81,26
81,9
81,24
81,23
84,5
84,26
84,34
84,43
84,8
84,42
84,10
39,7
39,33
39,26
39,35
39,80
39,16
93,23
93,33
93,35
93,11
93,5
93,21
93,28
93,19
90,28
90,31
90,61
90,34
90,14
90,10
40,34
40,14
40,3
40,10
40,4
40,8
40,21
40,7
40,9
40,82
65,8
65,11
65,34
65,74
65,7
65,6
65,14
65,42
65,5
65,20
65,89
63,10
63,4
63,8
63,16
63,18
63,5
63,83
63,6
63,11
63,7
63,2
54,5
54,10
54,12
54,6
54,3
45,3
45,7
45,10
45,6
45,4
45,5
45,30
19,19
19,2
19,27
20,18
20,12
20,5
20,35
20,13
56,6
56,38
56,11
56,2
56,12
56,1
56,36
56,8
56,7
56,4
64,8
64,11
64,12
64,18
64,13
64,20
64,4
64,5
64,14
64,28
55,28
55,3
55,4
55,6
55,15
55,2
41,17
41,4
41,18
41,14
41,8
41,19
41,6
41,88
41,69
41,7
69,27
69,10
69,8
69,16
69,39
69,12
69,6
69,14
69,15
69,4
69,22
69,5
69,56
69,59
69,68
69,53
69,11
69,58
60,6
60,4
60,21
60,44
60,38
60,20
99,0
99,46
33,5
33,2
33,7
33,20
33,18
57,6
57,10
57,9
57,5
57,14
57,8
57,3
57,26
57,35
57,18
12,6
9,8
11,10
13,27
44,12
44,25
44,35
44,7
44,31
44,21
44,8
44,15
44,29
43,29
43,5
43,6
43,13
43,10
43,8
43,4
74,28
74,17
74,8
74,3
74,38
74,74
74,10
74,4
74,11
74,9
74,15
82,13
82,8
82,26
82,14
82,28
82,12
72,22
72,8
72,11
72,6
72,19
72,26
72,17
72,16
72,4
72,18
72,37
72,39
72,3
72,21
77,32
77,42
77,28
77,2
77,30
77,7
77,31
77,8
77,51
77,6
77,5
77,12
77,3
77,40
77,39
77,29
58,6
58,8
58,10
58,5
58,12
58,7
58,16
58,29
58,15
58,4
28,21
28,7
28,4
28,30
75,29
75,26
75,7
75,22
75,48
75,15
75,12
75,43
75,24
75,13
75,19
75,27
75,88
75,8
75,9
75,21
75,72
80,31
80,16
80,11
80,10
80,47
80,5
80,12
80,7
80,6
80,4
80,39
79,35
79,22
79,9
79,29
79,10
79,28
79,30
79,78
79,31
79,18
79,13
94,33
94,13
94,24
94,27
23,40
23,3
48,3
48,14
47,16
47,7
47,6
47,24
67,11
67,49
67,4
67,15
67,6
67,3
67,7
67,41
67,12
67,43
67,25
67,33
67,64
85,24
85,13
85,28
85,25
85,9
85,6
85,11
38,6
38,25
38,29
38,3
38,22
38,13
38,15
38,10
14,9
14,38
15,17
15,27
15,5
15,33
42,6
42,5
42,7
42,9
42,10
42,8
42,18
42,35
42,30
49,6
95,43
95,29
95,63
95,28
95,17
95,12
95,26
91,44
91,29
91,25
91,46
91,9
91,28
91,32
91,59
89,14
89,27
89,28
89,25
89,9
89,40
89,83
89,16
87,26
87,25
87,8
87,24
87,7
98,31
98,33
98,43
98,25
35,6
35,19
35,21
35,23
35,16
35,22
76,18
76,7
76,33
76,6
76,29
76,21
76,38
76,25
76,3
76,9
76,10
76,12
76,20
76,37
76,51
73,11
73,40
73,4
73,56
73,16
73,10
73,21
73,5
73,26
73,41
66,3
66,12
66,7
66,10
66,14
66,6
66,4
66,17
66,9
66,15
66,31
66,8
66,34
46,9
46,38
46,3
46,11
46,17
46,21
97,29
97,24
97,28
97,41
22,31
22,3
22,8
88,50
88,23
88,17
88,40
88,22
88,16
92,11
92,42
92,29
92,25
92,49
34,23
34,24
34,21
34,0
34,22
31,48
31,8
31,13
31,20
83,29
83,0
83,9
83,15
83,34
83,6
83,5
36,15
36,7
86,48
86,10
86,38
26,24
26,2
26,18
26,5
26,7
10,4
10,9
6,2
37,22
37,4
37,7
16,4
25,8
25,22
25,18
29,7
29,6
51,8
51,30
8,11
32,25
32,16
32,40
53,4
53,25
53,36
53,11
100,63
30,4
30,6
30,21
27,5
96,23
96,28
96,34
96,24
7,11
24,14
50,5
