x,y
56,83
56,36
56,90
56,51
56,89
56,25
56,55
56,43
56,65
56,74
56,73
56,44
56,62
56,68
56,72
56,41
53,87
53,85
53,78
53,71
53,53
53,82
53,73
53,92
53,42
53,31
53,59
53,26
53,63
53,55
53,61
16,91
16,52
15,84
15,49
15,23
63,40
63,67
63,65
63,53
63,72
63,70
63,49
63,48
63,20
63,34
63,55
63,57
63,95
63,83
63,69
22,42
22,9
22,7
51,32
51,62
51,87
54,14
54,73
54,37
54,49
54,45
54,44
54,91
54,68
54,61
54,27
54,62
54,38
58,24
58,79
58,93
58,20
58,39
58,95
58,60
58,63
58,80
59,64
59,62
59,36
59,41
59,65
59,81
59,27
59,37
59,22
59,76
59,60
62,47
62,69
62,95
62,92
62,26
62,34
62,68
62,71
62,57
62,27
62,50
62,81
62,72
62,36
62,32
45,88
45,34
45,78
45,45
45,62
45,21
45,46
45,66
45,50
45,6
45,36
45,47
45,74
45,20
45,56
45,55
45,68
43,92
43,52
43,66
43,87
43,86
43,58
43,43
43,18
43,73
43,50
43,20
43,90
41,28
41,70
41,82
41,92
41,24
41,78
68,70
68,28
68,57
68,51
68,20
68,26
68,23
68,24
68,44
68,34
68,62
68,69
68,77
68,47
66,71
66,17
66,38
66,25
66,48
66,59
66,64
66,63
66,24
66,53
66,76
66,21
66,5
66,96
66,73
17,48
17,89
52,79
52,35
52,43
52,7
52,44
52,53
48,88
48,37
48,77
48,74
48,39
48,70
55,86
55,66
55,35
55,51
55,31
55,52
55,10
55,79
55,56
42,70
42,61
42,91
42,28
42,50
42,55
81,90
81,94
77,66
77,23
77,17
77,57
77,36
38,21
38,79
38,75
38,83
38,93
38,76
38,29
38,59
38,54
38,67
38,63
38,80
64,50
64,46
64,79
64,62
64,56
64,69
64,32
64,36
64,78
64,77
64,30
64,76
64,66
64,60
64,9
64,21
78,48
78,56
34,34
34,13
34,6
34,78
34,70
34,54
34,36
34,23
34,82
34,76
34,88
34,81
34,39
34,8
34,77
35,27
35,71
35,62
35,78
35,84
35,59
35,18
35,64
36,30
36,87
36,76
36,89
36,68
36,66
36,53
36,75
36,80
36,59
36,91
36,37
36,26
36,84
36,28
40,35
40,80
40,14
40,88
40,92
40,93
40,83
40,29
40,67
40,56
40,64
67,40
67,92
67,66
67,64
67,6
67,76
67,51
67,63
67,36
67,70
67,28
67,68
61,23
61,63
61,79
61,71
61,81
61,74
61,76
61,94
61,78
61,73
61,14
61,9
61,36
61,32
61,44
61,43
61,33
61,38
61,80
60,45
60,67
60,89
60,55
60,59
60,31
60,34
60,29
60,28
60,23
60,68
60,83
60,82
60,85
60,60
60,61
65,65
65,43
65,10
65,67
65,78
65,34
65,48
65,63
65,25
65,66
65,68
65,54
65,51
70,59
70,41
70,49
70,74
70,57
70,67
70,15
70,18
70,27
70,69
70,63
70,29
70,40
19,12
19,87
19,85
19,53
19,94
19,52
11,6
11,64
11,27
57,56
57,78
57,68
57,65
57,70
57,47
57,90
57,73
57,37
57,12
57,59
57,63
57,69
32,60
32,94
32,76
32,30
32,65
32,82
32,70
32,88
32,84
13,72
13,78
13,47
31,89
31,79
31,81
31,72
31,61
31,82
71,51
71,57
71,60
71,34
71,56
71,29
75,57
75,25
75,14
75,95
75,51
73,68
73,61
73,80
73,79
73,42
29,93
29,86
29,61
29,80
29,84
29,33
29,62
29,66
50,90
50,48
26,37
26,59
26,33
26,46
82,22
82,11
94,25
94,37
47,24
47,47
47,33
47,0
47,2
47,36
80,9
80,77
39,71
39,33
39,54
39,90
39,53
39,76
39,77
39,16
39,88
39,67
39,51
39,86
46,68
46,53
46,43
46,45
46,61
46,48
46,59
46,69
46,60
46,93
46,97
46,57
46,44
46,74
46,37
46,9
46,96
85,51
85,30
85,61
85,93
85,65
18,58
18,79
18,88
18,12
44,76
44,64
44,73
44,52
44,32
44,55
44,66
44,69
74,51
74,41
74,52
74,38
74,87
74,34
74,36
84,7
84,61
30,9
30,63
30,47
30,74
14,23
14,93
69,48
69,28
69,72
69,40
69,69
69,50
69,21
69,13
69,30
69,42
69,49
72,5
72,33
72,36
72,74
72,70
72,73
72,53
91,36
33,86
33,85
33,79
33,32
33,80
33,62
33,71
33,15
33,97
33,68
33,91
12,68
12,84
12,87
76,71
24,43
24,51
20,89
20,13
23,81
23,77
23,91
23,68
23,72
6,73
25,92
25,46
25,28
88,10
37,36
37,60
37,82
37,27
37,33
37,58
37,86
98,28
89,84
83,69
86,52
86,59
28,88
28,54
97,27
97,30
95,56
27,72
5,76
5,93
49,91
3,6
3,7
21,61
