Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,cluster,distance_to_lamine,distance_norm,minutes_penalty,minutes_penalty_norm,replacement_score
Kenan Yıldız,tr TUR,"MF,FW",Juventus,it Serie A,20-260,2005.0,20,19,1661,18.5,7,4,11,6,1,2,1,0,6.1,4.4,4.3,8.7,101.0,72.0,148.0,0.38,0.22,0.6,0.33,0.54,0.35,0.25,0.6,0.25,0.5,3,1.564560928775951,0.0,7.415776975415394,0.8192288762337974,0.2457686628701392
Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23-237,2002.0,19,13,1168,13.0,1,4,5,1,0,0,0,0,1.7,1.7,6.4,8.1,123.0,56.0,130.0,0.08,0.31,0.39,0.08,0.39,0.14,0.53,0.67,0.14,0.67,3,2.4570453439219198,0.24900281485289544,7.063903961472068,0.4569526811697546,0.3113877747479532
Nico Williams,es ESP,FW,Athletic Club,es La Liga,23-191,2002.0,16,13,1128,12.5,4,2,6,3,1,2,1,0,4.1,2.5,3.5,6.1,73.0,33.0,122.0,0.32,0.16,0.48,0.24,0.4,0.35,0.3,0.65,0.22,0.52,3,2.79228649495489,0.3425349694150358,7.029087564149662,0.42110693157262613,0.3661065580623129
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,24-315,2001.0,19,16,1409,15.7,3,2,5,3,0,0,2,0,2.6,2.6,4.9,7.5,81.0,116.0,141.0,0.19,0.13,0.32,0.19,0.32,0.18,0.34,0.51,0.18,0.51,3,2.6904335643326336,0.3141180402277508,7.251344983372214,0.6499354264275023,0.41486325608767627
Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-350,2005.0,13,11,954,10.6,2,3,5,2,0,0,2,0,2.8,2.8,2.7,5.4,67.0,35.0,122.0,0.19,0.28,0.47,0.19,0.47,0.26,0.25,0.51,0.26,0.51,3,3.3443440269452935,0.4965588124015492,6.86171134048073,0.24878220346848412,0.42222582972162964
Antony,br BRA,FW,Real Betis,es La Liga,25-329,2000.0,15,15,1261,14.0,5,4,9,5,0,0,1,1,4.2,4.2,2.3,6.5,74.0,69.0,129.0,0.36,0.29,0.64,0.36,0.64,0.32,0.18,0.5,0.32,0.5,3,2.934519817652321,0.38221801274498357,7.140453043101158,0.5357649484631484,0.428282093460433
Nicolas Pépé,ci CIV,"FW,MF",Villarreal,es La Liga,30-235,1995.0,18,11,1052,11.7,2,2,4,2,0,0,2,0,5.0,5.0,2.9,7.9,60.0,60.0,98.0,0.17,0.17,0.34,0.17,0.34,0.44,0.25,0.69,0.44,0.69,3,3.2755299624281675,0.4773597143832038,6.959398512133975,0.3493575117494583,0.43895905359308013
Alejandro Garnacho,ar ARG,FW,Chelsea,eng Premier League,21-202,2004.0,14,11,817,9.1,1,3,4,1,0,0,1,0,1.9,1.9,3.1,5.0,64.0,13.0,117.0,0.11,0.33,0.44,0.11,0.44,0.23,0.36,0.59,0.23,0.59,3,3.7172229278809437,0.600591884975758,6.706862336602747,0.08935506438299345,0.4472208387979286
Jesus Rodríguez,es ESP,FW,Como,it Serie A,20-059,2005.0,17,11,1082,12.0,0,6,6,0,0,0,1,1,2.1,2.1,3.7,5.9,78.0,30.0,114.0,0.0,0.5,0.5,0.0,0.5,0.18,0.32,0.5,0.18,0.5,3,3.3051878834131325,0.48563426314015123,6.9874902470009905,0.37827978318573674,0.45342791915382685
Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,26-257,1999.0,20,16,1422,15.8,5,3,8,5,0,0,1,0,4.8,4.8,3.7,8.6,61.0,48.0,156.0,0.32,0.19,0.51,0.32,0.51,0.32,0.25,0.57,0.32,0.57,3,2.9199898552613175,0.3781641587239306,7.260522598089852,0.6593843787708762,0.4625302247380142
Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,24-136,2001.0,20,16,1456,16.2,4,3,7,3,1,1,1,0,5.3,4.6,4.9,9.4,77.0,39.0,205.0,0.25,0.19,0.43,0.19,0.37,0.34,0.31,0.65,0.29,0.6,3,2.8881679079214475,0.36928584743103,7.284134806195205,0.6836946855307042,0.46360849886093225
Mohamed Salah,eg EGY,"FW,MF",Liverpool,eng Premier League,33-218,1992.0,14,12,1183,13.1,4,3,7,3,1,1,1,0,4.5,3.8,3.0,6.7,51.0,63.0,169.0,0.3,0.23,0.53,0.23,0.46,0.35,0.22,0.57,0.29,0.51,3,3.2507594061615066,0.4704487385373546,7.076653815443951,0.4700794865839937,0.47033796295134633
Khvicha Kvaratskhelia,ge GEO,FW,Paris Saint-Germain,fr Ligue 1,24-341,2001.0,15,9,749,8.3,3,3,6,3,0,0,1,0,2.2,2.2,2.3,4.5,43.0,33.0,107.0,0.36,0.36,0.72,0.36,0.72,0.29,0.3,0.59,0.29,0.59,3,3.992848163664932,0.6774912216924457,6.620073206530356,0.0,0.47424385518471196
Marcus Rashford,eng ENG,FW,Barcelona,es La Liga,28-080,1997.0,19,12,1138,12.6,3,6,9,3,0,0,2,0,4.0,4.0,3.2,7.2,52.0,38.0,161.0,0.24,0.47,0.71,0.24,0.71,0.32,0.26,0.59,0.32,0.59,3,3.3487454039706797,0.49778679492981637,7.037905963447182,0.430186048235365,0.4775065709214809
Bradley Barcola,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,23-139,2002.0,15,9,834,9.3,6,0,6,6,0,0,2,0,3.9,3.9,1.9,5.8,41.0,38.0,135.0,0.65,0.0,0.65,0.65,0.65,0.44,0.22,0.65,0.44,0.65,3,3.8875628777019675,0.648116666661048,6.727431724850855,0.11053258983687808,0.48684144361379694
Mason Greenwood,eng ENG,"FW,MF",Marseille,fr Ligue 1,24-110,2001.0,17,16,1355,15.1,12,3,15,8,4,5,2,0,8.7,4.7,4.0,8.8,61.0,102.0,139.0,0.8,0.2,1.0,0.53,0.73,0.6,0.28,0.88,0.33,0.61,3,3.125816917435037,0.4355898313568536,7.212294468500341,0.6097303769281606,0.48783199502824565
Pedro Neto,pt POR,FW,Chelsea,eng Premier League,25-316,2000.0,22,20,1729,19.2,5,3,8,5,0,0,2,0,3.6,3.6,4.0,7.6,86.0,55.0,160.0,0.26,0.16,0.42,0.26,0.42,0.2,0.22,0.42,0.2,0.42,3,2.9118100022061753,0.3758819828099901,7.455876687491824,0.8605141426184275,0.5212716307525213
Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,25-191,2000.0,20,17,1491,16.6,5,5,10,4,1,2,4,0,6.4,4.9,3.4,8.3,123.0,69.0,227.0,0.3,0.3,0.6,0.24,0.54,0.41,0.22,0.63,0.31,0.53,3,3.163471526752899,0.44609545313939214,7.307872780763706,0.7081344770589872,0.5247071603152706
Rayan Cherki,fr FRA,"MF,FW",Manchester City,eng Premier League,22-155,2003.0,17,10,885,9.8,2,7,9,2,0,0,1,0,1.7,1.7,5.7,7.3,56.0,58.0,92.0,0.2,0.71,0.92,0.2,0.92,0.18,0.61,0.79,0.18,0.79,3,4.010533169827194,0.6824253317344388,6.786716950605081,0.17157059263527685,0.5291689100046901
Abde Ezzalzouli,ma MAR,FW,Real Betis,es La Liga,24-033,2001.0,11,9,780,8.7,3,3,6,3,0,0,1,0,3.6,3.6,3.0,6.5,45.0,22.0,90.0,0.35,0.35,0.69,0.35,0.69,0.41,0.34,0.75,0.41,0.75,3,4.2533190292847465,0.7501624948551221,6.660575149839686,0.041699389647331664,0.5376235632927849
Jack Grealish,eng ENG,FW,Everton,eng Premier League,30-131,1995.0,20,18,1627,18.1,2,6,8,2,0,0,5,1,2.1,2.1,4.1,6.2,97.0,68.0,133.0,0.11,0.33,0.44,0.11,0.44,0.12,0.24,0.36,0.12,0.36,3,3.1009120589449295,0.42864138524137096,7.395107546562485,0.7979483524588638,0.5394334754066188
Anthony Gordon,eng ENG,FW,Newcastle United,eng Premier League,24-329,2001.0,17,15,1064,11.8,2,1,3,0,2,2,2,1,4.3,2.8,2.8,5.5,53.0,46.0,89.0,0.17,0.08,0.25,0.0,0.08,0.39,0.25,0.64,0.25,0.5,3,3.8170972380042154,0.6284567797908883,6.970730078143525,0.3610240972942025,0.5482269750418826
