Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_pedri;distance_norm;minutes_penalty;minutes_penalty_norm;replacement_score
Maxime Lopez;fr FRA;MF;Paris FC;fr Ligue 1;28-046;1997.0;16;16;1440;16.0;0;3;3;0;0;0;7;0;0.3;0.3;4.0;4.3;49.0;139.0;49.0;0.0;0.19;0.19;0.0;0.19;0.02;0.27;0.29;0.02;0.29;2;1.5206121195955187;0.008276821700653858;7.273092595999522;0.7807299470633522;0.3172580718457332
Declan Rice;eng ENG;MF;Arsenal;eng Premier League;27-005;1999.0;21;20;1786;19.8;4;3;7;4;0;0;1;0;2.5;2.5;3.5;6.0;54.0;134.0;50.0;0.2;0.15;0.35;0.2;0.35;0.13;0.18;0.32;0.13;0.32;2;1.4752736752534534;0.0;7.488293515159428;0.9289938101261823;0.37159752405047297
Martin Ødegaard;no NOR;MF;Arsenal;eng Premier League;27-033;1998.0;16;12;930;10.3;1;3;4;1;0;0;0;0;0.9;0.9;2.4;3.3;27.0;102.0;27.0;0.1;0.29;0.39;0.1;0.39;0.09;0.25;0.33;0.09;0.33;2;3.2293583860141695;0.3202193328309528;6.836259277277067;0.4797712169557782;0.38404008648088295
Azzedine Ounahi;ma MAR;MF,FW;Girona;es La Liga;25-275;2000.0;10;9;780;8.7;3;1;4;3;0;0;5;0;0.9;0.9;1.4;2.3;31.0;66.0;50.0;0.35;0.12;0.46;0.35;0.46;0.11;0.16;0.27;0.11;0.27;2;3.7398883027172958;0.41341981985077175;6.660575149839686;0.3587326660314947;0.3915449583230609
Lazar Samardzic;rs SRB;MF;Atalanta;it Serie A;23-329;2002.0;16;5;581;6.5;1;1;2;1;0;0;1;0;1.4;1.4;1.3;2.7;23.0;55.0;56.0;0.15;0.15;0.31;0.15;0.31;0.21;0.2;0.41;0.21;0.41;2;4.516960516900346;0.5552793004452139;6.366470447731438;0.15610760546141922;0.39561062245169604
Bilal El Khannouss;ma MAR;MF,FW;Stuttgart;de Bundesliga;21-254;2004.0;12;11;948;10.5;3;3;6;3;0;0;2;0;1.3;1.3;2.4;3.7;30.0;69.0;69.0;0.28;0.28;0.57;0.28;0.57;0.12;0.23;0.35;0.12;0.35;2;3.3375115646036972;0.339963384232248;6.855408798609928;0.49296438555235067;0.4011637847602891
Edu Expósito;es ESP;MF;Espanyol;es La Liga;29-171;1996.0;19;17;1327;14.7;0;5;5;0;0;0;3;0;1.4;1.4;4.0;5.4;31.0;103.0;49.0;0.0;0.34;0.34;0.0;0.34;0.1;0.29;0.38;0.1;0.38;2;2.6093968709341477;0.20704141073750104;7.191429330036379;0.7244675884763687;0.41401188183304816
Osame Sahraoui;ma MAR;FW,MF;Lille;fr Ligue 1;24-222;2001.0;16;4;463;5.1;1;2;3;1;0;0;0;0;0.8;0.8;0.5;1.3;22.0;40.0;69.0;0.19;0.39;0.58;0.19;0.58;0.16;0.11;0.27;0.16;0.27;2;5.256320869727298;0.6902542406242587;6.139884552226255;0.0;0.4141525443745552
Chris Führich;de GER;FW,MF;Stuttgart;de Bundesliga;28-010;1998.0;17;7;654;7.3;3;3;6;3;0;0;0;0;0.6;0.6;1.4;2.0;26.0;31.0;51.0;0.41;0.41;0.83;0.41;0.83;0.11;0.24;0.35;0.11;0.35;2;4.390907778007581;0.5322675703376927;6.484635235635252;0.23751788939985108;0.41436769796255607
Noa Lang;nl NED;FW,MF;Napoli;it Serie A;26-216;1999.0;18;7;666;7.4;1;2;3;1;0;0;2;0;0.8;0.8;1.1;1.9;25.0;32.0;49.0;0.14;0.27;0.41;0.14;0.41;0.12;0.18;0.3;0.12;0.3;2;4.654599800287315;0.5804062280258047;6.502790045915623;0.25002574631723107;0.4482540353423752
