Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-046,90,3,0,0,0,6,5,0,0,41,2,0,1,1.7,1.7,0.0,1,0,17,26,65.4,1,27,1,2,1,ba5dd68e
Ferrán Torres,7.0,es ESP,LW,24-220,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,ba5dd68e
Eric García,24.0,es ESP,"DM,CB",23-271,85,0,1,0,0,1,0,0,0,61,1,0,2,0.0,0.0,0.4,2,1,51,55,92.7,5,35,0,0,0,ba5dd68e
Lamine Yamal,19.0,es ESP,RW,17-085,66,0,0,0,0,1,0,0,0,30,0,3,0,0.0,0.0,0.0,3,1,14,17,82.4,2,21,2,7,4,ba5dd68e
Ansu Fati,10.0,es ESP,"RW,LW",21-341,24,0,0,0,0,2,2,0,0,19,0,0,0,0.1,0.1,0.0,3,0,10,13,76.9,1,12,1,2,1,ba5dd68e
Raphinha,11.0,br BRA,"LW,RW,AM",27-297,90,0,2,0,0,3,1,0,0,46,3,0,0,0.6,0.6,1.4,10,3,27,34,79.4,4,20,5,2,1,ba5dd68e
Pedri,8.0,es ESP,"AM,DM",21-316,90,0,0,0,0,2,1,0,0,61,4,1,1,0.3,0.3,0.1,2,0,37,46,80.4,2,37,1,1,1,ba5dd68e
Marc Casado,17.0,es ESP,DM,21-022,90,0,0,0,0,0,0,0,0,89,4,1,0,0.0,0.0,0.1,2,1,75,81,92.6,5,46,1,0,0,ba5dd68e
Alejandro Balde,3.0,es ESP,LB,20-354,80,0,0,0,0,0,0,0,0,37,1,0,1,0.0,0.0,0.0,1,0,24,26,92.3,0,17,1,3,1,ba5dd68e
Frenkie de Jong,21.0,nl NED,DM,27-147,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0,ba5dd68e
Iñigo Martínez,5.0,es ESP,CB,33-142,80,0,0,0,0,0,0,1,0,99,0,0,1,0.0,0.0,0.5,1,0,91,95,95.8,4,64,1,0,0,ba5dd68e
Gerard Martín,35.0,es ESP,LB,22-279,10,0,0,0,0,0,0,1,0,8,2,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,3,0,0,0,ba5dd68e
Pau Cubarsí,2.0,es ESP,CB,17-258,90,0,0,0,0,0,0,0,0,127,0,1,1,0.0,0.0,0.0,2,0,111,117,94.9,3,92,1,0,0,ba5dd68e
Héctor Fort,32.0,es ESP,RB,18-065,66,0,0,0,0,0,0,0,0,78,2,0,0,0.0,0.0,0.0,1,0,69,73,94.5,5,34,1,1,1,ba5dd68e
Jules Koundé,23.0,fr FRA,RB,25-329,24,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,0,0,30,33,90.9,0,19,1,1,1,ba5dd68e
Iñaki Peña,13.0,es ESP,GK,25-218,90,0,0,0,0,0,0,0,0,66,0,0,0,0.0,0.0,0.0,0,0,52,62,83.9,0,35,0,0,0,ba5dd68e
16 Players,,,,,990,3,3,0,0,15,9,2,0,804,19,6,8,2.8,2.8,2.6,28,6,616,688,89.5,33,463,16,19,11,ba5dd68e
