Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Robert Lewandowski,9.0,pl POL,FW,36-140,72,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,,,19c55bd4
Ferrán Torres,7.0,es ESP,"FW,MF",24-314,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,19c55bd4
Raphinha,11.0,br BRA,AM,28-025,90,0,0,0,0,6,3,0,0,0,2,2,5,0,1,0,,,19c55bd4
Gavi,6.0,es ESP,AM,20-156,72,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,,,19c55bd4
Frenkie de Jong,21.0,nl NED,"DF,MF",27-241,18,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,19c55bd4
Lamine Yamal,19.0,es ESP,AM,17-179,62,1,0,0,0,3,2,0,0,1,3,1,0,0,4,0,,,19c55bd4
Fermin López,16.0,es ESP,MF,21-242,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,19c55bd4
Pedri,8.0,es ESP,DM,22-044,90,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,,19c55bd4
Marc Casado,17.0,es ESP,DM,21-116,82,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,,,19c55bd4
Eric García,24.0,es ESP,DF,23-365,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,19c55bd4
Alejandro Balde,3.0,es ESP,LB,21-082,82,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,,,19c55bd4
Gerard Martín,35.0,es ESP,DF,23-007,8,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,,,19c55bd4
Iñigo Martínez,5.0,es ESP,CB,33-236,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,19c55bd4
Pau Cubarsí,2.0,es ESP,CB,17-352,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,19c55bd4
Jules Koundé,23.0,fr FRA,RB,26-057,90,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,,,19c55bd4
Wojciech Szczęsny,25.0,pl POL,GK,34-265,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19c55bd4
16 Players,,,,,990,2,2,0,0,14,8,1,0,8,13,4,8,12,12,0,,,19c55bd4
