Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-277,88,2,0,0,0,5,2,0,0,16,0,0,0,2.3,2.3,0.0,1,0,7,8,87.5,0,14,1,1,0,20bdd334
Pau Victor,18.0,es ESP,FW,23-180,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,20bdd334
Raphinha,11.0,br BRA,LW,28-162,63,0,0,0,0,1,0,0,0,35,0,1,0,0.0,0.0,0.6,2,0,24,32,75.0,0,17,1,0,0,20bdd334
Dani Olmo,20.0,es ESP,AM,27-018,27,1,0,1,1,0,0,0,0,21,0,0,0,0.8,0.0,0.1,4,1,15,17,88.2,2,13,2,2,0,20bdd334
Lamine Yamal,19.0,es ESP,RW,17-316,90,0,0,0,0,4,1,0,0,64,0,1,0,0.3,0.3,0.0,4,0,39,51,76.5,4,51,2,6,5,20bdd334
Fermin López,16.0,es ESP,"AM,LW",22-014,90,0,1,0,0,1,0,0,0,61,1,0,0,0.1,0.1,0.8,5,1,42,56,75.0,6,42,3,1,1,20bdd334
Pedri,8.0,es ESP,DM,22-181,80,0,0,0,0,0,0,0,0,124,2,0,0,0.0,0.0,0.0,1,1,115,123,93.5,5,103,0,0,0,20bdd334
Frenkie de Jong,21.0,nl NED,DM,28-013,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,7,0,0,0,20bdd334
Gavi,6.0,es ESP,DM,20-293,90,0,0,0,0,0,0,0,0,108,8,0,1,0.0,0.0,0.0,0,0,95,98,96.9,3,74,0,2,2,20bdd334
Alejandro Balde,3.0,es ESP,LB,21-219,80,0,0,0,0,0,0,0,0,70,0,0,0,0.0,0.0,0.0,2,0,62,67,92.5,3,41,3,3,2,20bdd334
Gerard Martín,35.0,es ESP,LB,23-144,10,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,20bdd334
Pau Cubarsí,2.0,es ESP,CB,18-123,90,0,0,0,0,0,0,0,0,57,1,1,0,0.0,0.0,0.0,0,0,46,48,95.8,1,35,0,0,0,20bdd334
Ronald Araújo,4.0,uy URU,CB,26-079,63,0,0,0,0,0,0,0,0,86,0,0,0,0.0,0.0,0.0,1,1,80,82,97.6,2,64,0,0,0,20bdd334
Andreas Christensen,15.0,dk DEN,CB,29-045,27,0,0,0,0,1,0,0,0,34,0,0,1,0.0,0.0,0.0,0,0,29,31,93.5,1,26,0,0,0,20bdd334
Eric García,24.0,es ESP,RB,24-136,90,0,0,0,0,0,0,0,0,99,5,0,0,0.0,0.0,0.0,2,1,81,89,91.0,6,68,0,1,0,20bdd334
Iñaki Peña,13.0,es ESP,GK,26-084,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,1,1,41,42,97.6,0,28,0,0,0,20bdd334
16 Players,,,,,990,3,1,1,1,12,3,0,0,832,17,4,2,3.5,2.7,1.5,23,6,686,755,90.9,34,586,12,16,10,20bdd334
