Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Ferrán Torres,7.0,es ESP,FW,25-032,73,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,,,bf32d1db
Robert Lewandowski,9.0,pl POL,FW,36-224,17,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,,,bf32d1db
Raphinha,11.0,br BRA,AM,28-109,90,0,0,0,0,5,2,0,0,0,3,0,8,0,0,0,,,bf32d1db
Fermin López,16.0,es ESP,AM,21-326,57,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,,bf32d1db
Ronald Araújo,4.0,uy URU,DF,26-026,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,bf32d1db
Lamine Yamal,19.0,es ESP,AM,17-263,86,0,1,0,0,4,1,0,0,2,4,0,0,1,1,0,,,bf32d1db
Gerard Martín,35.0,es ESP,DF,23-091,4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,bf32d1db
Pedri,8.0,es ESP,DM,22-128,90,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,,,bf32d1db
Frenkie de Jong,21.0,nl NED,DM,27-325,90,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,,,bf32d1db
Alejandro Balde,3.0,es ESP,LB,21-166,90,0,0,0,0,1,0,1,0,4,0,0,0,1,1,0,,,bf32d1db
Iñigo Martínez,5.0,es ESP,CB,33-320,90,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,,,bf32d1db
Pau Cubarsí,2.0,es ESP,CB,18-070,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,bf32d1db
Eric García,24.0,es ESP,DF,24-083,33,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,,,bf32d1db
Jules Koundé,23.0,fr FRA,RB,26-141,90,0,0,0,0,2,0,0,0,4,0,0,1,0,2,0,,,bf32d1db
Wojciech Szczęsny,25.0,pl POL,GK,34-349,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,bf32d1db
15 Players,,,,,990,1,1,0,0,15,5,3,0,22,11,1,11,10,11,0,,,bf32d1db
