Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-207,90,1,0,0,0,5,2,0,0,25,0,0,2,0.5,0.5,0.0,0,0,10,13,76.9,1,13,0,0,0,8ddf3820
Raphinha,11.0,br BRA,"LW,AM",28-092,90,0,1,0,0,1,0,0,0,52,3,0,2,0.0,0.0,0.3,2,1,30,39,76.9,3,29,1,3,1,8ddf3820
Lamine Yamal,19.0,es ESP,RW,17-246,90,1,0,0,0,4,2,1,0,79,3,0,1,0.3,0.3,0.3,4,1,49,61,80.3,3,64,3,10,6,8ddf3820
Dani Olmo,20.0,es ESP,AM,26-313,66,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.2,3,0,32,35,91.4,4,33,2,2,0,8ddf3820
Ferrán Torres,7.0,es ESP,LW,25-015,24,2,0,0,0,2,2,0,0,17,0,0,0,0.4,0.4,0.0,0,0,10,14,71.4,0,13,1,0,0,8ddf3820
Pedri,8.0,es ESP,DM,22-111,89,0,1,0,0,0,0,0,0,99,2,1,3,0.0,0.0,0.1,5,1,77,93,82.8,10,77,4,1,0,8ddf3820
Gavi,6.0,es ESP,DM,20-223,1,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,8ddf3820
Marc Casado,17.0,es ESP,DM,21-183,66,0,0,0,0,0,0,0,0,55,2,0,2,0.0,0.0,0.0,1,0,43,49,87.8,3,33,0,0,0,8ddf3820
Eric García,24.0,es ESP,DM,24-066,24,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,10,0,0,0,8ddf3820
Alejandro Balde,3.0,es ESP,LB,21-149,85,0,0,0,0,0,0,1,0,71,2,0,5,0.0,0.0,0.0,1,0,48,53,90.6,4,49,4,4,1,8ddf3820
Gerard Martín,35.0,es ESP,LB,23-074,5,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,6,0,0,0,8ddf3820
Iñigo Martínez,5.0,es ESP,CB,33-303,90,0,1,0,0,0,0,0,0,99,4,1,0,0.0,0.0,0.1,2,2,79,86,91.9,19,69,6,2,2,8ddf3820
Pau Cubarsí,2.0,es ESP,CB,18-053,90,0,0,0,0,0,0,0,0,107,0,1,1,0.0,0.0,0.0,1,0,98,101,97.0,10,83,1,1,1,8ddf3820
Jules Koundé,23.0,fr FRA,RB,26-124,85,0,0,0,0,1,0,1,0,94,4,1,0,0.0,0.0,0.1,4,1,77,81,95.1,7,60,3,0,0,8ddf3820
Ronald Araújo,4.0,uy URU,RB,26-009,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,8ddf3820
Wojciech Szczęsny,25.0,pl POL,GK,34-332,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,23,28,82.1,0,17,0,0,0,8ddf3820
16 Players,,,,,990,4,3,0,0,13,6,3,0,803,22,6,16,1.3,1.3,1.1,24,6,598,679,88.1,64,560,25,23,11,8ddf3820
