Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-097,90,2,0,1,1,1,1,0,0,33,1,0,0,0.9,0.1,0.2,4,1,14,22,63.6,4,21,1,0,0,d22fed87
Fermin López,16.0,es ESP,LW,21-199,77,0,0,0,0,5,3,0,0,36,0,0,2,0.6,0.6,0.0,2,0,17,24,70.8,1,27,2,2,1,d22fed87
Pablo Torre,14.0,es ESP,LW,21-237,13,0,0,0,0,1,0,0,0,14,1,1,1,0.4,0.4,0.0,1,0,8,9,88.9,2,6,0,1,0,d22fed87
Raphinha,11.0,br BRA,RW,27-348,90,0,0,0,0,6,0,0,0,65,3,1,0,0.3,0.3,0.2,9,1,43,54,79.6,8,42,9,3,2,d22fed87
Dani Olmo,20.0,es ESP,AM,26-203,67,1,0,0,0,4,1,0,0,47,1,0,0,0.6,0.6,0.1,4,1,30,41,73.2,3,28,2,1,1,d22fed87
Gavi,6.0,es ESP,AM,20-113,23,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,1,0,18,18,100.0,3,6,0,1,0,d22fed87
Pedri,8.0,es ESP,DM,22-001,87,0,0,0,0,0,0,0,0,100,3,0,2,0.0,0.0,0.0,6,1,84,93,90.3,19,55,1,4,4,d22fed87
Frenkie de Jong,21.0,nl NED,DM,27-198,3,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,10,10,100.0,1,4,0,0,0,d22fed87
Marc Casado,17.0,es ESP,DM,21-073,90,0,0,0,0,1,1,0,0,100,3,0,1,0.1,0.1,0.3,2,0,92,94,97.9,12,44,0,0,0,d22fed87
Gerard Martín,35.0,es ESP,LB,22-330,77,0,1,0,0,0,0,0,0,91,1,3,1,0.0,0.0,0.5,4,1,70,80,87.5,6,46,1,3,0,d22fed87
Alejandro Balde,3.0,es ESP,LB,21-039,13,0,1,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,1,1,8,12,66.7,2,9,2,3,2,d22fed87
Iñigo Martínez,5.0,es ESP,CB,33-193,90,0,0,0,0,0,0,0,0,123,2,0,0,0.0,0.0,0.0,0,0,109,117,93.2,10,63,1,0,0,d22fed87
Pau Cubarsí,2.0,es ESP,CB,17-309,90,0,0,0,0,0,0,0,0,119,2,0,0,0.0,0.0,0.0,0,0,110,115,95.7,11,61,0,0,0,d22fed87
Jules Koundé,23.0,fr FRA,RB,26-014,90,0,0,0,0,0,0,0,0,92,1,0,1,0.0,0.0,0.0,1,0,65,80,81.3,5,37,3,2,0,d22fed87
Iñaki Peña,13.0,es ESP,GK,25-269,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,38,40,95.0,0,22,0,0,0,d22fed87
15 Players,,,,,990,3,2,1,1,18,6,0,0,905,20,5,8,2.9,2.1,1.4,35,6,716,809,88.5,87,471,22,20,10,d22fed87
