Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-241,77,0,0,0,0,2,0,0,0,24,1,0,0,0.1,0.1,0.0,1,1,11,16,68.8,2,18,1,0,0,ac6535dc
Gavi,6.0,es ESP,"DM,FW",20-257,13,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,8,9,88.9,1,11,1,2,1,ac6535dc
Ferrán Torres,7.0,es ESP,LW,25-049,58,1,0,0,0,3,1,0,0,27,1,1,0,0.2,0.2,0.1,3,1,14,20,70.0,2,19,4,1,1,ac6535dc
Lamine Yamal,19.0,es ESP,"LW,RW",17-280,32,0,1,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.5,2,1,19,24,79.2,1,23,0,2,2,ac6535dc
Raphinha,11.0,br BRA,"RW,LW",28-126,90,2,1,1,1,6,2,1,0,74,0,0,2,1.6,0.8,0.7,9,1,46,58,79.3,6,48,6,6,4,ac6535dc
Pedri,8.0,es ESP,"LM,DM",22-145,90,0,0,0,0,0,0,0,0,129,5,0,2,0.0,0.0,0.0,7,1,105,115,91.3,13,98,1,5,3,ac6535dc
Frenkie de Jong,21.0,nl NED,"CM,CB",27-342,90,0,0,0,0,0,0,0,0,113,2,2,1,0.0,0.0,0.1,1,0,102,105,97.1,9,80,2,0,0,ac6535dc
Fermin López,16.0,es ESP,RM,21-343,58,0,0,0,0,1,1,0,0,29,1,0,1,0.0,0.0,0.1,2,0,21,24,87.5,5,21,2,1,1,ac6535dc
Dani Olmo,20.0,es ESP,"RM,AM",26-347,32,1,0,0,0,2,1,0,0,18,0,0,1,0.8,0.8,0.0,1,1,10,13,76.9,3,13,0,0,0,ac6535dc
Gerard Martín,35.0,es ESP,LB,23-108,87,0,0,0,0,1,0,0,0,83,1,0,0,0.0,0.0,0.0,1,0,64,78,82.1,2,45,0,0,0,ac6535dc
Pau Victor,18.0,es ESP,FW,23-144,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,ac6535dc
Iñigo Martínez,5.0,es ESP,"CB,LB",33-337,90,0,1,0,0,1,0,1,0,123,0,0,2,0.0,0.0,0.3,4,1,101,115,87.8,13,82,1,0,0,ac6535dc
Pau Cubarsí,2.0,es ESP,CB,18-087,86,0,0,0,0,0,0,0,0,97,3,1,0,0.0,0.0,0.0,0,0,87,89,97.8,9,61,1,1,0,ac6535dc
Eric García,24.0,es ESP,CB,24-100,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,ac6535dc
Jules Koundé,23.0,fr FRA,RB,26-158,90,0,0,0,0,0,0,0,0,110,1,0,1,0.0,0.0,0.0,4,1,90,100,90.0,7,72,3,2,1,ac6535dc
Wojciech Szczęsny,25.0,pl POL,GK,35-001,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,25,28,89.3,0,20,0,0,0,ac6535dc
16 Players,,,,,990,4,3,1,1,17,5,2,0,910,16,4,10,2.9,2.1,1.9,35,8,707,799,88.5,73,614,22,20,13,ac6535dc
