Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-231,80,2,0,0,0,6,5,0,0,27,0,0,2,1.3,1.3,0.0,1,0,7,12,58.3,1,18,1,2,0,8b67c631
Ferrán Torres,7.0,es ESP,FW,25-039,10,0,0,0,0,0,0,0,0,5,0,0,2,0.0,0.0,0.0,0,0,2,3,66.7,1,4,0,1,1,8b67c631
Raphinha,11.0,br BRA,"LW,RW",28-116,90,1,2,0,0,3,1,0,0,50,0,1,2,1.1,1.1,1.4,6,2,26,39,66.7,2,26,5,2,1,8b67c631
Lamine Yamal,19.0,es ESP,RW,17-270,85,1,0,0,0,4,2,0,0,54,1,0,0,0.6,0.6,0.4,7,2,36,44,81.8,4,36,6,2,1,8b67c631
Ansu Fati,10.0,es ESP,LW,22-160,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,1,1,8b67c631
Fermin López,16.0,es ESP,AM,21-333,73,0,1,0,0,4,1,0,0,53,2,0,2,0.5,0.5,0.3,6,1,34,40,85.0,2,31,1,4,1,8b67c631
Gavi,6.0,es ESP,AM,20-247,17,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,8b67c631
Pedri,8.0,es ESP,DM,22-135,80,0,0,0,0,0,0,0,0,66,3,0,0,0.0,0.0,0.4,3,0,56,62,90.3,10,39,0,1,1,8b67c631
Eric García,24.0,es ESP,DM,24-090,10,0,0,0,0,0,0,0,0,7,1,1,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0,8b67c631
Frenkie de Jong,21.0,nl NED,DM,27-332,90,0,0,0,0,0,0,0,0,77,3,2,0,0.0,0.0,0.0,2,0,68,70,97.1,6,44,0,0,0,8b67c631
Alejandro Balde,3.0,es ESP,LB,21-173,90,0,0,0,0,0,0,0,0,72,0,1,0,0.0,0.0,0.0,0,0,58,67,86.6,3,41,5,2,0,8b67c631
Iñigo Martínez,5.0,es ESP,CB,33-327,80,0,0,0,0,0,0,0,0,79,1,0,2,0.0,0.0,0.1,1,0,67,71,94.4,14,61,1,0,0,8b67c631
Ronald Araújo,4.0,uy URU,CB,26-033,10,0,0,0,0,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,0,0,8b67c631
Pau Cubarsí,2.0,es ESP,CB,18-077,90,0,1,0,0,1,0,0,0,65,2,0,1,0.1,0.1,0.9,1,1,55,59,93.2,2,36,0,0,0,8b67c631
Jules Koundé,23.0,fr FRA,RB,26-148,90,0,0,0,0,0,0,0,0,67,3,2,1,0.0,0.0,0.0,0,0,52,60,86.7,5,34,1,1,1,8b67c631
Wojciech Szczęsny,25.0,pl POL,GK,34-356,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,20,0,0,0,8b67c631
16 Players,,,,,990,4,4,0,0,18,9,0,0,678,17,7,14,3.7,3.7,3.5,27,6,505,582,86.8,50,403,21,16,7,8b67c631
