Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-074,90,0,0,0,0,2,2,0,0,37,1,0,1,0.1,0.1,0.1,2,0,22,26,84.6,4,24,1,0,0,90cf8629
Raphinha,11.0,br BRA,LW,27-325,84,1,0,0,0,1,1,0,0,62,1,1,0,0.5,0.5,0.1,6,1,34,48,70.8,4,36,3,4,1,90cf8629
Ansu Fati,10.0,es ESP,LW,22-003,6,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,8,1,0,0,90cf8629
Lamine Yamal,19.0,es ESP,RW,17-113,90,0,1,0,0,4,2,0,0,63,0,1,0,0.1,0.1,0.5,5,1,35,46,76.1,8,47,7,10,3,90cf8629
Dani Olmo,20.0,es ESP,AM,26-180,55,2,0,0,0,4,3,0,0,29,0,0,1,0.9,0.9,0.0,0,0,15,21,71.4,0,21,1,2,1,90cf8629
Fermin López,16.0,es ESP,AM,21-176,35,0,0,0,0,1,1,0,0,30,0,0,0,0.0,0.0,0.1,1,0,24,28,85.7,3,21,0,1,0,90cf8629
Pedri,8.0,es ESP,DM,21-344,84,0,0,0,0,0,0,0,0,107,1,1,2,0.0,0.0,0.0,0,0,90,101,89.1,6,76,1,0,0,90cf8629
Gavi,6.0,es ESP,DM,20-090,6,0,0,0,0,0,0,0,0,14,1,0,2,0.0,0.0,0.0,0,0,7,9,77.8,1,8,0,0,0,90cf8629
Marc Casado,17.0,es ESP,DM,21-050,55,0,1,0,0,0,0,0,0,66,3,0,2,0.0,0.0,0.5,3,2,56,58,96.6,1,43,0,0,0,90cf8629
Frenkie de Jong,21.0,nl NED,DM,27-175,35,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.1,1,0,48,51,94.1,9,38,0,0,0,90cf8629
Alejandro Balde,3.0,es ESP,LB,21-016,90,0,1,0,0,0,0,0,0,58,0,0,1,0.0,0.0,0.1,1,1,49,56,87.5,3,39,2,1,0,90cf8629
Iñigo Martínez,5.0,es ESP,CB,33-170,90,0,0,0,0,0,0,0,0,140,1,2,0,0.0,0.0,0.0,2,1,123,130,94.6,12,110,8,0,0,90cf8629
Pau Cubarsí,2.0,es ESP,CB,17-286,90,0,0,0,0,0,0,0,0,122,0,0,1,0.0,0.0,0.0,2,0,115,117,98.3,8,94,0,0,0,90cf8629
Héctor Fort,32.0,es ESP,RB,18-093,77,0,0,0,0,1,0,0,0,67,0,1,0,0.1,0.1,0.3,2,0,53,59,89.8,2,46,2,0,0,90cf8629
Jules Koundé,23.0,fr FRA,RB,25-357,13,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,1,0,11,11,100.0,1,10,1,2,1,90cf8629
Iñaki Peña,13.0,es ESP,GK,25-246,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,29,30,96.7,0,16,0,0,0,90cf8629
16 Players,,,,,990,3,3,0,0,14,9,0,0,902,9,6,10,1.8,1.8,1.8,26,6,717,799,89.7,63,637,27,20,6,90cf8629
