Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-035,76,1,0,0,0,4,2,0,0,20,0,0,0,0.7,0.7,0.0,1,0,12,13,92.3,1,12,2,2,2,231f83bc
Pedri,8.0,es ESP,AM,21-305,14,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,2,8,0,0,0,231f83bc
Raphinha,11.0,br BRA,LW,27-286,90,0,0,0,0,4,1,1,0,73,0,0,0,0.6,0.6,0.3,6,0,43,59,72.9,3,38,2,3,0,231f83bc
Lamine Yamal,19.0,es ESP,RW,17-074,90,0,0,0,0,3,1,0,0,69,1,0,2,0.1,0.1,0.0,2,1,32,41,78.0,4,47,7,12,5,231f83bc
Pablo Torre,14.0,es ESP,AM,21-175,62,0,0,0,0,0,0,0,0,45,2,1,0,0.0,0.0,0.1,2,0,30,39,76.9,5,18,0,1,0,231f83bc
Ferrán Torres,7.0,es ESP,"FW,AM",24-209,28,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,3,0,0,0,231f83bc
Marc Casado,17.0,es ESP,DM,21-011,90,0,0,0,0,2,0,0,0,78,3,0,1,0.1,0.1,0.1,2,0,60,68,88.2,8,35,3,0,0,231f83bc
Eric García,24.0,es ESP,DM,23-260,90,0,0,0,0,1,0,0,0,77,1,1,0,0.4,0.4,0.0,3,1,60,69,87.0,7,26,2,0,0,231f83bc
Alejandro Balde,3.0,es ESP,LB,20-343,87,0,0,0,0,1,0,0,0,65,0,0,1,0.1,0.1,0.2,4,0,48,55,87.3,4,38,3,11,3,231f83bc
Gerard Martín,35.0,es ESP,LB,22-268,3,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,231f83bc
Iñigo Martínez,5.0,es ESP,CB,33-131,90,0,0,0,0,0,0,0,0,116,2,1,0,0.0,0.0,0.0,1,0,101,108,93.5,13,74,1,0,0,231f83bc
Pau Cubarsí,2.0,es ESP,CB,17-247,87,0,0,0,0,0,0,0,0,88,0,0,0,0.0,0.0,0.4,1,0,77,81,95.1,8,54,0,0,0,231f83bc
Héctor Fort,32.0,es ESP,RB,18-054,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,231f83bc
Jules Koundé,23.0,fr FRA,"RB,CB",25-318,90,0,0,0,0,0,0,0,0,97,3,1,2,0.0,0.0,0.3,1,0,66,80,82.5,3,39,3,4,2,231f83bc
Iñaki Peña,13.0,es ESP,GK,25-207,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,38,43,88.4,0,29,0,0,0,231f83bc
15 Players,,,,,990,1,0,0,0,15,4,1,0,801,13,4,7,1.9,1.9,1.4,24,2,585,679,86.2,58,424,23,33,12,231f83bc
