Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-221,90,2,0,0,0,6,4,0,0,28,0,0,0,1.2,1.2,0.0,0,0,8,15,53.3,1,12,1,1,0,6e84530a
Gavi,6.0,es ESP,LW,20-237,65,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.1,2,1,27,32,84.4,0,20,0,1,1,6e84530a
Frenkie de Jong,21.0,nl NED,"LW,DM",27-322,25,0,1,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.3,4,3,16,16,100.0,3,7,1,3,2,6e84530a
Lamine Yamal,19.0,es ESP,RW,17-260,90,0,0,0,0,7,1,0,0,91,2,2,2,0.5,0.5,0.4,5,0,51,69,73.9,6,58,12,6,3,6e84530a
Fermin López,16.0,es ESP,AM,21-323,66,0,1,0,0,4,1,0,0,52,1,0,3,0.2,0.2,0.6,6,1,34,39,87.2,9,26,1,4,3,6e84530a
Ferrán Torres,7.0,es ESP,AM,25-029,24,1,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.1,1,0,8,9,88.9,1,6,1,0,0,6e84530a
Pedri,8.0,es ESP,DM,22-125,86,0,0,0,0,0,0,0,0,109,1,4,1,0.0,0.0,0.1,3,0,82,98,83.7,11,62,7,4,2,6e84530a
Pablo Torre,14.0,es ESP,DM,21-361,4,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.2,3,0,4,4,100.0,1,1,0,0,0,6e84530a
Eric García,24.0,es ESP,DM,24-080,80,0,0,0,0,1,0,0,0,69,0,1,0,0.0,0.0,0.0,2,0,59,63,93.7,10,32,1,1,1,6e84530a
Alejandro Balde,3.0,es ESP,"LW,DM",21-163,10,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,1,0,3,3,100.0,0,3,1,1,0,6e84530a
Gerard Martín,35.0,es ESP,LB,23-088,90,0,1,0,0,0,0,0,0,81,0,0,2,0.0,0.0,0.1,2,1,61,74,82.4,5,37,1,2,0,6e84530a
Iñigo Martínez,5.0,es ESP,CB,33-317,80,0,0,0,0,0,0,0,0,69,0,0,0,0.0,0.0,0.0,0,0,61,65,93.8,5,43,0,0,0,6e84530a
Pau Cubarsí,2.0,es ESP,CB,18-067,10,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,0,10,0,0,0,6e84530a
Ronald Araújo,4.0,uy URU,CB,26-023,90,0,0,0,0,1,1,0,0,85,3,0,1,0.1,0.1,0.0,0,0,65,73,89.0,1,51,0,1,0,6e84530a
Jules Koundé,23.0,fr FRA,RB,26-138,90,0,0,0,0,0,0,0,0,85,1,0,0,0.0,0.0,0.1,4,0,75,83,90.4,9,43,2,1,1,6e84530a
Wojciech Szczęsny,25.0,pl POL,GK,34-346,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,26,0,0,0,6e84530a
16 Players,,,,,990,3,3,0,0,21,9,0,0,793,10,8,9,2.3,2.3,2.0,33,6,596,694,85.9,62,437,28,25,13,6e84530a
