Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-060,90,1,0,0,0,4,1,0,0,23,0,0,0,0.7,0.7,0.0,3,0,13,15,86.7,3,11,1,2,2,4b3ea62f
Raphinha,11.0,br BRA,LW,28-137,90,0,1,0,0,5,3,0,0,60,1,1,0,0.2,0.2,0.6,3,1,35,49,71.4,3,38,2,2,0,4b3ea62f
Lamine Yamal,19.0,es ESP,RW,17-291,90,1,0,0,0,6,2,0,0,92,0,0,2,0.2,0.2,0.2,7,0,48,72,66.7,4,79,8,13,6,4b3ea62f
Dani Olmo,20.0,es ESP,AM,26-358,67,0,0,0,0,2,2,0,0,35,1,0,1,0.2,0.2,0.0,4,0,23,28,82.1,5,18,1,2,1,4b3ea62f
Fermin López,16.0,es ESP,AM,21-354,23,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.0,2,0,9,11,81.8,2,10,0,1,1,4b3ea62f
Pedri,8.0,es ESP,DM,22-156,82,0,0,0,0,1,0,0,0,102,2,2,3,0.0,0.0,0.0,5,1,87,92,94.6,10,73,7,1,1,4b3ea62f
Gavi,6.0,es ESP,DM,20-268,8,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,12,0,0,0,4b3ea62f
Frenkie de Jong,21.0,nl NED,DM,27-353,90,0,0,0,0,0,0,0,0,111,3,1,0,0.0,0.0,0.1,6,1,101,104,97.1,15,78,2,0,0,4b3ea62f
Gerard Martín,35.0,es ESP,LB,23-119,45,0,0,0,0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0,0,28,38,73.7,0,20,0,0,0,4b3ea62f
Ronald Araújo,4.0,uy URU,CB,26-054,45,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,0,0,31,33,93.9,1,24,0,0,0,4b3ea62f
Iñigo Martínez,5.0,es ESP,"LB,CB",33-348,90,0,0,0,0,0,0,0,0,90,1,0,0,0.0,0.0,0.0,1,1,79,84,94.0,8,63,3,0,0,4b3ea62f
Pau Cubarsí,2.0,es ESP,CB,18-098,82,0,0,0,0,0,0,1,0,62,0,1,1,0.0,0.0,0.0,2,0,59,61,96.7,2,42,1,0,0,4b3ea62f
Andreas Christensen,15.0,dk DEN,CB,29-020,8,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,18,19,94.7,3,14,0,0,0,4b3ea62f
Jules Koundé,23.0,fr FRA,RB,26-169,41,0,0,0,0,0,0,0,0,43,1,0,1,0.0,0.0,0.0,0,0,38,40,95.0,6,28,1,0,0,4b3ea62f
Eric García,24.0,es ESP,RB,24-111,49,0,0,0,0,0,0,0,0,51,1,1,1,0.0,0.0,0.0,0,0,41,46,89.1,6,23,1,0,0,4b3ea62f
Wojciech Szczęsny,25.0,pl POL,GK,35-012,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,31,87.1,0,19,0,0,0,4b3ea62f
16 Players,,,,,990,2,1,0,0,19,9,1,0,827,11,6,11,1.4,1.4,1.0,34,4,649,737,88.1,68,552,27,21,11,4b3ea62f
