Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-101,90,0,0,0,0,4,0,0,0,31,0,0,0,0.6,0.6,0.3,4,0,12,16,75.0,0,18,0,2,1,00bca7c4
Pablo Torre,14.0,es ESP,LW,21-241,45,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.1,4,0,24,29,82.8,4,17,2,1,0,00bca7c4
Lamine Yamal,19.0,es ESP,"RW,LW",17-140,45,0,0,0,0,4,2,0,0,32,0,0,0,0.3,0.3,0.0,4,0,14,24,58.3,2,24,3,4,1,00bca7c4
Raphinha,11.0,br BRA,"RW,LW",27-352,90,1,0,0,0,5,3,0,0,67,0,2,1,0.3,0.3,0.4,10,0,37,52,71.2,9,39,3,5,3,00bca7c4
Fermin López,16.0,es ESP,AM,21-203,56,0,0,0,0,3,1,0,0,24,0,0,0,0.2,0.2,0.0,0,0,16,20,80.0,3,12,4,0,0,00bca7c4
Ferrán Torres,7.0,es ESP,AM,24-275,34,0,0,0,0,3,1,0,0,28,1,1,2,0.2,0.2,0.1,3,0,10,19,52.6,3,18,4,0,0,00bca7c4
Pedri,8.0,es ESP,DM,22-005,90,0,1,0,0,3,1,0,0,95,1,2,0,0.2,0.2,0.0,9,1,74,85,87.1,10,60,5,1,0,00bca7c4
Gavi,6.0,es ESP,DM,20-117,56,0,0,0,0,0,0,0,0,47,2,3,1,0.0,0.0,0.1,2,0,35,37,94.6,2,24,0,0,0,00bca7c4
Frenkie de Jong,21.0,nl NED,DM,27-202,34,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.1,3,1,33,34,97.1,5,26,1,0,0,00bca7c4
Alejandro Balde,3.0,es ESP,LB,21-043,25,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,2,0,13,15,86.7,1,13,1,3,2,00bca7c4
Gerard Martín,35.0,es ESP,LB,22-334,65,0,0,0,0,0,0,0,0,51,0,2,1,0.0,0.0,0.1,1,0,40,47,85.1,4,23,3,0,0,00bca7c4
Iñigo Martínez,5.0,es ESP,CB,33-197,90,0,0,0,0,1,0,0,0,113,2,0,1,0.0,0.0,0.0,4,0,100,111,90.1,12,78,9,0,0,00bca7c4
Pau Cubarsí,2.0,es ESP,CB,17-313,89,0,0,0,0,2,0,0,0,85,1,0,0,0.4,0.4,0.1,2,0,79,79,100.0,13,47,0,0,0,00bca7c4
Pau Victor,18.0,es ESP,CB,23-004,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.3,1,0,1,1,100.0,0,0,0,0,0,00bca7c4
Jules Koundé,23.0,fr FRA,RB,26-018,55,0,0,0,0,2,0,0,0,56,1,0,1,0.1,0.1,0.0,0,0,40,46,87.0,0,31,1,2,0,00bca7c4
Héctor Fort,32.0,es ESP,RB,18-120,35,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,2,0,21,23,91.3,2,14,0,0,0,00bca7c4
Iñaki Peña,13.0,es ESP,GK,25-273,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,32,34,94.1,0,20,0,0,0,00bca7c4
17 Players,,,,,990,1,1,0,0,27,8,0,0,778,9,10,10,2.3,2.3,1.8,51,2,581,672,86.5,70,464,36,18,7,00bca7c4
