Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-116,65,0,0,0,0,6,2,0,0,18,0,0,0,1.6,1.6,0.0,0,0,3,6,50.0,0,14,1,0,0,e7bdcc56
Ferrán Torres,7.0,es ESP,FW,24-290,25,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,1,0,4,7,57.1,0,5,1,0,0,e7bdcc56
Raphinha,11.0,br BRA,LW,28-001,90,0,0,0,0,4,1,0,0,86,2,0,0,0.3,0.3,0.9,7,0,47,72,65.3,8,49,5,5,4,e7bdcc56
Lamine Yamal,19.0,es ESP,RW,17-155,74,0,0,0,0,3,0,0,0,58,0,0,0,0.1,0.1,0.0,3,0,38,49,77.6,5,33,2,7,5,e7bdcc56
Gavi,6.0,es ESP,RW,20-132,16,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,1,0,5,8,62.5,0,7,0,0,0,e7bdcc56
Dani Olmo,20.0,es ESP,AM,26-222,65,0,0,0,0,2,0,0,0,53,1,0,1,0.1,0.1,0.3,2,0,26,38,68.4,6,32,1,3,1,e7bdcc56
Fermin López,16.0,es ESP,AM,21-218,25,0,0,0,0,2,0,0,0,20,0,1,0,0.1,0.1,0.0,1,0,12,15,80.0,2,12,0,1,1,e7bdcc56
Pedri,8.0,es ESP,DM,22-020,90,0,0,0,0,0,0,0,0,140,3,0,1,0.0,0.0,0.6,8,0,120,131,91.6,24,87,6,2,2,e7bdcc56
Marc Casado,17.0,es ESP,DM,21-092,79,0,0,0,0,0,0,0,0,131,2,1,0,0.0,0.0,0.0,4,0,113,127,89.0,12,83,3,1,1,e7bdcc56
Pau Victor,18.0,es ESP,DM,23-019,11,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,2,0,6,7,85.7,2,5,1,0,0,e7bdcc56
Alejandro Balde,3.0,es ESP,LB,21-058,90,0,0,0,0,0,0,0,0,84,0,0,3,0.0,0.0,0.2,2,0,66,76,86.8,9,54,12,2,1,e7bdcc56
Iñigo Martínez,5.0,es ESP,CB,33-212,90,0,0,0,0,0,0,0,0,99,0,3,0,0.0,0.0,0.0,1,0,88,91,96.7,12,55,6,0,0,e7bdcc56
Eric García,24.0,es ESP,CB,23-341,73,0,0,0,0,0,0,0,0,90,2,0,0,0.0,0.0,0.0,1,0,79,81,97.5,7,57,1,0,0,e7bdcc56
Pau Cubarsí,2.0,es ESP,CB,17-328,17,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,19,21,90.5,6,11,1,0,0,e7bdcc56
Jules Koundé,23.0,fr FRA,RB,26-033,90,0,0,0,0,2,0,0,0,102,4,0,2,0.3,0.3,0.3,6,0,75,88,85.2,6,49,2,1,0,e7bdcc56
Iñaki Peña,13.0,es ESP,GK,25-288,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,28,29,96.6,1,20,0,0,0,e7bdcc56
16 Players,,,,,990,0,0,0,0,20,3,0,0,962,15,5,7,2.6,2.6,2.5,39,0,729,846,86.2,100,573,42,22,15,e7bdcc56
