Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-052,76,0,0,0,0,4,1,0,0,31,1,1,0,0.3,0.3,0.1,4,0,13,17,76.5,4,17,2,1,0,a71ce7d1
Pau Victor,18.0,es ESP,FW,23-147,14,0,0,0,0,2,1,0,0,9,1,0,0,0.2,0.2,0.1,2,0,6,6,100.0,2,7,2,0,0,a71ce7d1
Ansu Fati,10.0,es ESP,LW,22-173,61,0,0,0,0,4,1,0,0,59,0,1,1,0.2,0.2,0.1,4,0,36,42,85.7,3,34,3,3,0,a71ce7d1
Raphinha,11.0,br BRA,"LW,RW",28-129,29,0,0,0,0,1,0,0,0,30,0,0,1,0.1,0.1,0.1,4,0,19,24,79.2,1,14,1,1,0,a71ce7d1
Lamine Yamal,19.0,es ESP,RW,17-283,85,0,0,0,0,10,4,0,0,78,3,0,0,0.8,0.8,0.5,13,0,42,55,76.4,7,45,4,9,5,a71ce7d1
Frenkie de Jong,21.0,nl NED,DM,27-345,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,6,0,0,0,a71ce7d1
Dani Olmo,20.0,es ESP,AM,26-350,61,1,0,0,0,4,2,0,0,66,0,1,0,0.6,0.6,0.2,8,0,46,58,79.3,2,38,1,0,0,a71ce7d1
Fermin López,16.0,es ESP,"AM,LW",21-346,29,0,0,0,0,4,2,0,0,21,1,0,0,0.2,0.2,0.2,4,0,12,14,85.7,3,17,0,2,1,a71ce7d1
Pedri,8.0,es ESP,DM,22-148,90,0,0,0,0,2,0,0,0,122,1,1,0,0.1,0.1,0.9,16,0,106,114,93.0,11,93,4,3,3,a71ce7d1
Gavi,6.0,es ESP,"DM,AM",20-260,90,0,0,0,0,3,0,0,0,124,2,1,1,0.1,0.1,0.1,8,1,109,113,96.5,10,91,1,2,0,a71ce7d1
Héctor Fort,32.0,es ESP,LB,18-263,76,0,0,0,0,1,0,0,0,81,0,0,0,0.1,0.1,0.0,1,0,62,69,89.9,4,48,3,3,0,a71ce7d1
Gerard Martín,35.0,es ESP,LB,23-111,14,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,13,16,81.3,1,10,2,0,0,a71ce7d1
Iñigo Martínez,5.0,es ESP,CB,33-340,90,0,0,0,0,2,0,0,0,107,0,0,0,0.1,0.1,0.0,0,0,90,94,95.7,12,68,1,0,0,a71ce7d1
Ronald Araújo,4.0,uy URU,CB,26-046,90,0,0,0,0,1,0,0,0,60,3,3,1,0.5,0.5,0.0,1,0,35,45,77.8,2,29,0,0,0,a71ce7d1
Eric García,24.0,es ESP,RB,24-103,90,0,1,0,0,2,1,0,0,89,2,0,3,0.2,0.2,0.1,3,1,74,81,91.4,10,50,2,0,0,a71ce7d1
Wojciech Szczęsny,25.0,pl POL,GK,35-004,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,23,24,95.8,0,16,0,0,0,a71ce7d1
16 Players,,,,,990,1,1,0,0,40,12,0,0,928,14,8,7,3.5,3.5,2.5,69,2,692,778,88.9,72,583,26,24,9,a71ce7d1
