Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-026,67,1,0,0,0,4,2,0,0,29,0,0,0,1.5,1.5,0.0,3,0,17,20,85.0,2,18,0,1,0,af815599
Robert Lewandowski,9.0,pl POL,FW,36-218,23,1,0,0,0,3,1,0,0,16,0,0,0,0.3,0.3,0.0,2,0,11,13,84.6,0,8,2,0,0,af815599
Gavi,6.0,es ESP,"DM,LW",20-234,90,0,0,0,0,0,0,0,0,87,1,0,3,0.0,0.0,0.0,1,0,71,77,92.2,5,43,1,3,2,af815599
Lamine Yamal,19.0,es ESP,RW,17-257,90,0,0,0,0,4,0,0,0,73,0,0,1,0.1,0.1,1.1,8,0,36,52,69.2,12,48,7,19,9,af815599
Pedri,8.0,es ESP,"LM,DM",22-122,83,0,0,0,0,1,0,0,0,106,2,0,1,0.0,0.0,0.4,5,1,89,98,90.8,11,66,1,1,1,af815599
Pau Victor,18.0,es ESP,LW,23-121,7,0,0,0,0,2,1,0,0,7,0,0,0,0.7,0.7,0.0,1,0,5,5,100.0,0,4,1,0,0,af815599
Frenkie de Jong,21.0,nl NED,CM,27-319,45,0,0,0,0,0,0,0,0,59,3,0,1,0.0,0.0,0.0,2,1,49,52,94.2,4,34,0,0,0,af815599
Pablo Torre,14.0,es ESP,"LW,DM",21-358,45,0,0,0,0,2,0,0,0,54,0,1,0,0.1,0.1,0.1,2,1,38,46,82.6,1,26,0,0,0,af815599
Dani Olmo,20.0,es ESP,RM,26-324,27,1,0,1,1,1,0,0,0,10,0,0,0,0.9,0.1,0.0,1,1,5,7,71.4,0,5,0,1,0,af815599
Fermin López,16.0,es ESP,"AM,RM",21-320,63,0,1,0,0,1,0,0,0,60,3,0,1,0.1,0.1,0.3,5,1,43,48,89.6,6,36,1,4,2,af815599
Alejandro Balde,3.0,es ESP,LB,21-160,82,0,1,0,0,0,0,0,0,57,1,0,0,0.0,0.0,0.8,3,1,49,53,92.5,3,36,3,2,1,af815599
Gerard Martín,35.0,es ESP,LB,23-085,8,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,0,0,0,af815599
Iñigo Martínez,5.0,es ESP,CB,33-314,90,0,0,0,0,0,0,0,0,102,0,0,0,0.0,0.0,0.0,0,0,86,97,88.7,9,56,2,0,0,af815599
Eric García,24.0,es ESP,CB,24-077,90,0,0,0,0,0,0,1,0,103,1,0,2,0.0,0.0,0.0,1,0,86,91,94.5,2,65,2,1,1,af815599
Jules Koundé,23.0,fr FRA,RB,26-135,90,0,0,0,0,0,0,0,0,100,2,0,1,0.0,0.0,0.0,3,0,82,91,90.1,5,48,2,3,2,af815599
Wojciech Szczęsny,25.0,pl POL,GK,34-343,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,17,0,1,1,af815599
16 Players,,,,,990,3,2,1,1,18,4,1,0,900,14,1,10,3.7,2.9,2.7,37,6,701,786,89.2,61,513,22,36,19,af815599
