Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-180,80,1,0,1,1,3,0,0,0,32,0,1,1,1.2,0.4,0.0,1,0,13,20,65.0,1,22,2,4,1,b299fca9
Ferrán Torres,7.0,es ESP,FW,24-354,10,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,b299fca9
Raphinha,11.0,br BRA,LW,28-065,90,0,0,0,0,6,3,0,0,35,0,1,0,0.8,0.8,0.2,2,0,20,27,74.1,2,20,1,0,0,b299fca9
Lamine Yamal,19.0,es ESP,RW,17-219,90,0,0,0,0,4,1,0,0,46,2,0,0,0.4,0.4,0.0,3,0,22,32,68.8,4,35,1,6,3,b299fca9
Gavi,6.0,es ESP,AM,20-196,65,0,0,0,0,0,0,1,0,30,1,1,1,0.0,0.0,0.0,2,0,20,22,90.9,2,13,1,1,0,b299fca9
Dani Olmo,20.0,es ESP,AM,26-286,25,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.2,2,0,11,13,84.6,3,11,1,2,1,b299fca9
Pedri,8.0,es ESP,DM,22-084,90,0,0,0,0,0,0,0,0,80,3,1,3,0.0,0.0,0.4,3,0,63,72,87.5,7,55,5,2,2,b299fca9
Frenkie de Jong,21.0,nl NED,DM,27-281,87,0,0,0,0,0,0,0,0,87,1,1,1,0.0,0.0,0.0,1,0,76,83,91.6,5,55,1,1,1,b299fca9
Marc Casado,17.0,es ESP,DM,21-156,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,b299fca9
Alejandro Balde,3.0,es ESP,LB,21-122,90,0,0,0,0,0,0,0,0,61,0,0,1,0.0,0.0,0.2,6,1,45,52,86.5,5,41,7,5,4,b299fca9
Iñigo Martínez,5.0,es ESP,CB,33-276,90,0,0,0,0,0,0,0,0,64,1,2,2,0.0,0.0,0.0,1,1,43,51,84.3,3,33,1,1,1,b299fca9
Pau Cubarsí,2.0,es ESP,CB,18-026,80,0,0,0,0,0,0,0,0,94,1,0,0,0.0,0.0,0.0,0,0,78,90,86.7,2,62,1,1,1,b299fca9
Eric García,24.0,es ESP,CB,24-039,10,0,0,0,0,0,0,0,0,12,0,1,1,0.0,0.0,0.0,1,0,8,9,88.9,2,8,0,0,0,b299fca9
Héctor Fort,32.0,es ESP,RB,18-199,65,0,0,0,0,0,0,0,0,44,0,2,3,0.0,0.0,0.1,1,0,33,39,84.6,1,23,2,0,0,b299fca9
Jules Koundé,23.0,fr FRA,RB,26-097,25,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,14,17,82.4,1,11,1,2,2,b299fca9
Wojciech Szczęsny,25.0,pl POL,GK,34-305,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,45,49,91.8,0,34,0,0,0,b299fca9
16 Players,,,,,990,1,0,1,1,13,4,2,0,676,9,10,14,2.3,1.6,1.1,24,2,493,579,85.1,38,426,24,25,16,b299fca9
