Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-227,90,0,0,0,0,1,0,0,0,20,1,0,1,0.0,0.0,0.0,0,0,10,13,76.9,1,8,0,2,2,86447b37
Ferrán Torres,7.0,es ESP,LW,25-035,56,0,1,0,0,1,0,0,0,33,0,1,0,0.4,0.4,0.3,1,1,20,25,80.0,3,17,0,2,0,86447b37
Raphinha,11.0,br BRA,LW,28-112,34,0,0,0,0,3,1,0,0,22,0,1,0,0.1,0.1,0.0,1,0,10,15,66.7,1,13,0,1,1,86447b37
Lamine Yamal,19.0,es ESP,RW,17-266,90,0,0,0,0,4,1,0,0,72,0,0,0,0.3,0.3,0.0,4,1,36,55,65.5,3,57,8,15,10,86447b37
Pedri,8.0,es ESP,LM,22-131,74,0,0,0,0,1,1,0,0,115,2,3,0,0.1,0.1,0.1,4,0,89,108,82.4,15,83,2,1,0,86447b37
Fermin López,16.0,es ESP,RM,21-329,16,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,11,14,78.6,2,12,2,3,1,86447b37
Frenkie de Jong,21.0,nl NED,CM,27-328,56,0,0,0,0,0,0,0,0,93,0,0,0,0.0,0.0,0.0,1,0,86,90,95.6,6,70,5,0,0,86447b37
Eric García,24.0,es ESP,CM,24-086,34,0,0,0,0,0,0,1,0,26,0,1,1,0.0,0.0,0.0,0,0,20,24,83.3,3,14,0,0,0,86447b37
Gavi,6.0,es ESP,"RM,LM",20-243,90,1,0,0,0,2,1,0,0,83,1,0,1,0.3,0.3,0.2,4,0,66,74,89.2,13,52,2,0,0,86447b37
Alejandro Balde,3.0,es ESP,LB,21-169,74,0,0,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.0,1,0,45,50,90.0,3,40,2,4,1,86447b37
Gerard Martín,35.0,es ESP,LB,23-094,16,0,0,0,0,0,0,0,0,16,1,1,1,0.0,0.0,0.0,1,0,9,10,90.0,1,10,0,1,0,86447b37
Pau Cubarsí,2.0,es ESP,CB,18-073,90,0,0,0,0,0,0,0,0,117,2,0,0,0.0,0.0,0.0,2,0,109,112,97.3,9,84,1,0,0,86447b37
Ronald Araújo,4.0,uy URU,CB,26-029,90,0,0,0,0,0,0,0,0,99,0,1,1,0.0,0.0,0.1,3,0,89,92,96.7,7,62,3,0,0,86447b37
Jules Koundé,23.0,fr FRA,RB,26-144,90,0,0,0,0,1,1,1,0,81,1,3,3,0.1,0.1,0.0,1,0,57,71,80.3,9,51,1,0,0,86447b37
Wojciech Szczęsny,25.0,pl POL,GK,34-352,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,25,25,100.0,0,18,0,0,0,86447b37
15 Players,,,,,990,1,1,0,0,13,5,2,0,879,10,11,9,1.4,1.4,0.7,24,2,682,778,87.7,76,591,26,29,15,86447b37
