Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Raphinha,11.0,br BRA,FW,28-032,63,1,0,0,0,2,2,1,0,1,1,0,6,0,0,0,,,1fcb527f
Ferrán Torres,7.0,es ESP,"FW,MF",24-321,27,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,,,1fcb527f
Dani Olmo,20.0,es ESP,FW,26-253,90,0,2,0,0,5,2,0,0,0,1,0,0,0,2,0,,,1fcb527f
Lamine Yamal,19.0,es ESP,FW,17-186,76,1,1,0,0,3,1,0,0,0,1,5,3,0,0,0,,,1fcb527f
Pablo Torre,14.0,es ESP,MF,21-287,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1fcb527f
Pedri,8.0,es ESP,CM,22-051,71,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,,1fcb527f
Pau Victor,18.0,es ESP,FW,23-050,19,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,1fcb527f
Frenkie de Jong,21.0,nl NED,CM,27-248,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,,,1fcb527f
Gavi,6.0,es ESP,CM,20-163,71,1,0,0,0,1,1,1,0,2,1,0,1,1,2,0,,,1fcb527f
Fermin López,16.0,es ESP,MF,21-249,19,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,,1fcb527f
Gerard Martín,35.0,es ESP,LB,23-014,90,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,,,1fcb527f
Pau Cubarsí,2.0,es ESP,CB,17-359,90,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,,,1fcb527f
Ronald Araújo,4.0,uy URU,CB,25-314,63,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,1fcb527f
Eric García,24.0,es ESP,DF,24-006,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1fcb527f
Jules Koundé,23.0,fr FRA,RB,26-064,90,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,,,1fcb527f
Iñaki Peña,13.0,es ESP,GK,25-319,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1fcb527f
16 Players,,,,,990,5,4,0,0,18,9,2,0,10,7,8,15,8,9,0,,,1fcb527f
