Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-060,65,2,0,1,1,3,2,0,0,31,0,0,1,1.9,1.2,0.0,3,1,14,21,66.7,3,15,3,2,1,5f73bf47
Pau Victor,18.0,es ESP,FW,22-329,25,0,0,0,0,1,1,0,0,12,0,1,0,0.4,0.4,0.0,1,1,7,7,100.0,1,6,0,1,1,5f73bf47
Ansu Fati,10.0,es ESP,LW,21-355,75,0,0,0,0,2,1,1,0,42,0,0,0,0.4,0.4,0.1,1,0,29,32,90.6,1,29,0,2,0,5f73bf47
Gerard Martín,35.0,es ESP,LB,22-293,15,0,0,0,0,0,0,0,0,9,3,0,0,0.0,0.0,0.0,0,0,3,7,42.9,1,4,0,0,0,5f73bf47
Lamine Yamal,19.0,es ESP,RW,17-099,75,0,1,0,0,6,1,0,0,51,2,0,1,0.8,0.8,0.7,8,2,28,35,80.0,4,36,6,8,3,5f73bf47
Pablo Torre,14.0,es ESP,RW,21-200,15,2,0,0,0,2,2,0,0,10,0,0,0,0.2,0.2,0.0,2,1,5,7,71.4,0,5,0,1,1,5f73bf47
Raphinha,11.0,br BRA,AM,27-311,65,0,1,0,0,2,0,0,0,39,5,0,0,0.1,0.1,0.9,7,2,24,30,80.0,5,23,1,2,2,5f73bf47
Fermin López,16.0,es ESP,AM,21-162,25,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.4,1,0,13,14,92.9,1,10,2,1,0,5f73bf47
Pedri,8.0,es ESP,DM,21-330,82,1,0,0,0,1,1,0,0,83,0,1,3,0.1,0.1,0.6,5,1,68,73,93.2,14,51,0,0,0,5f73bf47
Gavi,6.0,es ESP,DM,20-076,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,2,1,8,8,100.0,2,7,0,1,0,5f73bf47
Marc Casado,17.0,es ESP,DM,21-036,90,0,0,0,0,1,0,0,0,65,1,2,2,0.1,0.1,0.0,0,0,48,53,90.6,1,33,0,2,0,5f73bf47
Alejandro Balde,3.0,es ESP,"LB,LW",21-002,90,0,0,0,0,2,0,0,0,61,0,0,0,0.1,0.1,0.0,3,0,41,50,82.0,1,39,5,4,2,5f73bf47
Iñigo Martínez,5.0,es ESP,CB,33-156,90,0,0,0,0,0,0,0,0,124,1,2,3,0.0,0.0,0.0,3,0,108,117,92.3,17,87,2,0,0,5f73bf47
Pau Cubarsí,2.0,es ESP,CB,17-272,90,0,0,0,0,0,0,0,0,97,1,1,0,0.0,0.0,0.0,1,0,91,94,96.8,5,61,0,3,3,5f73bf47
Jules Koundé,23.0,fr FRA,RB,25-343,90,0,0,0,0,0,0,0,0,67,3,0,1,0.0,0.0,0.0,2,0,49,60,81.7,3,40,2,1,1,5f73bf47
Iñaki Peña,13.0,es ESP,GK,25-232,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,42,44,95.5,0,23,0,0,0,5f73bf47
16 Players,,,,,990,5,2,1,1,20,8,1,0,764,17,7,11,4.1,3.3,2.7,39,9,578,652,88.7,59,469,21,28,14,5f73bf47
