Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-010,72,1,1,0,0,6,2,0,0,25,0,1,0,1.2,1.2,1.3,6,0,11,16,68.8,1,12,1,2,2,3ed1b8ff
Ferrán Torres,7.0,es ESP,FW,24-184,18,1,1,0,0,1,1,0,0,6,0,0,0,0.2,0.2,0.2,1,0,3,4,75.0,1,3,0,0,0,3ed1b8ff
Raphinha,11.0,br BRA,LW,27-261,90,3,1,0,0,6,5,0,0,55,1,0,0,2.2,2.2,0.3,4,1,33,47,70.2,1,24,2,2,1,3ed1b8ff
Lamine Yamal,19.0,es ESP,RW,17-049,90,0,2,0,0,0,0,0,0,55,5,0,1,0.0,0.0,1.3,4,2,36,43,83.7,11,41,6,9,2,3ed1b8ff
Pedri,8.0,es ESP,LM,21-280,60,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.1,6,1,44,48,91.7,8,36,2,1,1,3ed1b8ff
Fermin López,16.0,es ESP,LM,21-112,30,0,0,0,0,1,0,0,0,19,1,1,1,0.0,0.0,0.0,0,0,12,12,100.0,2,12,1,1,0,3ed1b8ff
Marc Casado,17.0,es ESP,CM,20-352,60,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,1,0,63,64,98.4,4,42,0,0,0,3ed1b8ff
Eric García,24.0,es ESP,CM,23-235,30,0,0,0,0,0,0,0,0,21,2,0,1,0.0,0.0,0.0,0,0,15,16,93.8,0,10,1,1,0,3ed1b8ff
Dani Olmo,20.0,es ESP,RM,26-116,82,1,0,0,0,6,2,0,0,48,1,0,0,0.9,0.9,0.5,6,2,30,35,85.7,9,35,3,5,4,3ed1b8ff
Pablo Torre,14.0,es ESP,RM,21-150,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,3ed1b8ff
Alejandro Balde,3.0,es ESP,LB,20-318,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,3,1,44,46,95.7,4,33,0,3,2,3ed1b8ff
Iñigo Martínez,5.0,es ESP,CB,33-106,90,0,0,0,0,1,0,0,0,113,1,1,0,0.1,0.1,0.0,2,0,95,106,89.6,5,74,2,0,0,3ed1b8ff
Pau Cubarsí,2.0,es ESP,CB,17-222,60,0,1,0,0,1,0,0,0,80,1,0,0,0.0,0.0,0.4,5,3,68,72,94.4,9,43,1,0,0,3ed1b8ff
Sergi Dominguez,36.0,es ESP,CB,19-152,30,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,33,35,94.3,2,27,0,0,0,3ed1b8ff
Jules Koundé,23.0,fr FRA,RB,25-293,90,1,0,0,0,1,1,0,0,66,3,0,1,0.1,0.1,0.0,0,0,51,58,87.9,5,33,0,0,0,3ed1b8ff
Marc-André ter Stegen,1.0,de GER,GK,32-123,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,30,31,96.8,0,23,0,0,0,3ed1b8ff
16 Players,,,,,990,7,6,0,0,23,11,0,0,729,16,4,4,4.8,4.8,4.1,38,10,571,636,89.8,62,450,19,24,12,3ed1b8ff
