Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-041,74,2,0,0,0,5,2,0,0,24,0,0,1,2.0,2.0,0.5,0,0,10,14,71.4,1,15,2,1,1,9efdd96e
Pau Victor,18.0,es ESP,FW,22-310,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,0,0,9efdd96e
Ferrán Torres,7.0,es ESP,"LW,AM",24-215,90,0,0,0,0,3,2,0,0,35,1,1,1,0.7,0.7,0.1,1,0,23,27,85.2,0,18,1,1,0,9efdd96e
Lamine Yamal,19.0,es ESP,RW,17-080,74,0,0,0,0,2,2,0,0,36,1,0,2,0.1,0.1,0.1,2,1,21,24,87.5,1,25,4,4,2,9efdd96e
Frenkie de Jong,21.0,nl NED,"DM,RW",27-142,16,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,17,19,89.5,1,11,0,0,0,9efdd96e
Raphinha,11.0,br BRA,"AM,RW",27-292,90,1,1,0,0,6,1,0,0,81,3,2,0,0.5,0.5,1.3,13,1,50,69,72.5,12,44,4,4,2,9efdd96e
Pedri,8.0,es ESP,DM,21-311,63,0,1,0,0,1,0,0,0,63,3,0,0,0.2,0.2,0.1,4,2,52,57,91.2,9,42,0,3,2,9efdd96e
Ansu Fati,10.0,es ESP,"DM,LW",21-336,27,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,1,0,18,20,90.0,5,17,0,1,0,9efdd96e
Marc Casado,17.0,es ESP,DM,21-017,90,0,0,0,0,0,0,0,0,70,2,0,1,0.0,0.0,0.1,2,0,59,67,88.1,6,42,2,0,0,9efdd96e
Alejandro Balde,3.0,es ESP,LB,20-349,90,0,0,0,0,0,0,0,0,71,0,1,0,0.0,0.0,0.0,1,0,58,64,90.6,3,47,2,3,2,9efdd96e
Iñigo Martínez,5.0,es ESP,CB,33-137,83,1,1,0,0,2,1,0,0,104,0,0,0,0.2,0.2,0.9,2,1,96,102,94.1,15,84,5,0,0,9efdd96e
Andres Cuenca,39.0,es ESP,CB,17-112,7,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,7,0,0,0,9efdd96e
Pau Cubarsí,2.0,es ESP,CB,17-253,63,0,0,0,0,0,0,0,0,99,0,0,0,0.0,0.0,0.0,2,0,94,98,95.9,12,76,3,1,1,9efdd96e
Héctor Fort,32.0,es ESP,"CB,RB",18-060,27,0,0,0,0,0,0,0,0,28,2,1,0,0.0,0.0,0.0,1,0,22,25,88.0,1,11,0,1,1,9efdd96e
Jules Koundé,23.0,fr FRA,"RB,CB",25-324,90,0,0,0,0,2,0,0,0,91,0,0,0,0.1,0.1,0.2,1,0,77,84,91.7,6,53,2,1,0,9efdd96e
Iñaki Peña,13.0,es ESP,GK,25-213,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,16,0,0,0,9efdd96e
16 Players,,,,,990,4,3,0,0,21,8,0,0,790,14,5,7,3.6,3.6,3.3,30,5,633,708,89.4,72,511,25,20,11,9efdd96e
