Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-153,90,2,0,2,2,2,0,0,0,32,1,2,1,1.7,0.1,0.2,3,1,12,19,63.2,3,22,1,4,2,b72a4588
Raphinha,11.0,br BRA,LW,28-038,90,2,0,0,0,7,3,0,0,85,2,1,2,0.7,0.7,0.2,6,0,50,63,79.4,6,42,5,7,3,b72a4588
Lamine Yamal,19.0,es ESP,RW,17-192,89,0,0,0,0,4,2,0,0,52,0,0,2,0.2,0.2,0.0,4,1,30,41,73.2,5,41,3,6,6,b72a4588
Gerard Martín,35.0,es ESP,"LB,RW",23-020,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,1,1,0,0,0,b72a4588
Gavi,6.0,es ESP,AM,20-169,61,0,0,0,0,1,1,1,0,37,0,0,3,0.2,0.2,0.0,1,0,25,29,86.2,3,22,1,0,0,b72a4588
Fermin López,16.0,es ESP,AM,21-255,29,0,0,0,0,0,0,1,0,22,0,0,1,0.0,0.0,0.0,1,1,15,16,93.8,1,12,1,1,0,b72a4588
Pedri,8.0,es ESP,DM,22-057,90,0,1,0,0,1,1,0,0,116,1,0,1,0.0,0.0,0.9,9,2,100,111,90.1,19,83,6,1,1,b72a4588
Marc Casado,17.0,es ESP,DM,21-129,61,0,0,0,0,0,0,0,0,82,5,0,0,0.0,0.0,0.0,2,0,69,73,94.5,3,39,0,2,1,b72a4588
Frenkie de Jong,21.0,nl NED,DM,27-254,29,0,0,0,0,1,0,1,0,34,1,0,0,0.0,0.0,0.0,0,0,25,28,89.3,2,20,0,0,0,b72a4588
Alejandro Balde,3.0,es ESP,LB,21-095,73,0,0,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.1,4,1,55,64,85.9,5,44,7,7,4,b72a4588
Ferrán Torres,7.0,es ESP,"LB,RW",24-327,17,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.3,3,1,6,7,85.7,1,7,0,1,0,b72a4588
Pau Cubarsí,2.0,es ESP,CB,17-365,90,0,0,0,0,0,0,0,0,115,0,2,1,0.0,0.0,0.0,2,0,105,110,95.5,15,80,1,0,0,b72a4588
Ronald Araújo,4.0,uy URU,CB,25-320,90,0,0,0,0,2,0,0,0,121,1,0,3,0.1,0.1,0.0,3,0,102,109,93.6,4,82,0,0,0,b72a4588
Jules Koundé,23.0,fr FRA,RB,26-070,73,0,0,0,0,1,1,1,0,69,1,1,1,0.4,0.4,0.0,0,0,48,59,81.4,1,38,1,2,0,b72a4588
Eric García,24.0,es ESP,RB,24-012,17,1,0,0,0,1,1,0,0,23,0,0,0,0.3,0.3,0.0,0,0,22,22,100.0,3,10,0,0,0,b72a4588
Wojciech Szczęsny,25.0,pl POL,GK,34-278,90,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,24,26,92.3,0,22,0,0,0,b72a4588
16 Players,,,,,990,5,2,2,2,20,9,4,0,902,13,6,16,3.6,2.1,1.8,39,7,691,781,88.5,72,565,26,31,17,b72a4588
