Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-196,78,0,0,0,0,1,1,0,0,24,2,0,0,0.7,0.7,0.0,1,0,13,17,76.5,2,5,1,0,0,41097255
Gerard Martín,35.0,es ESP,LB,23-063,12,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,0,0,41097255
Raphinha,11.0,br BRA,"RM,LM,LW",28-081,90,1,0,0,0,3,1,0,0,48,1,0,1,0.1,0.1,0.3,2,0,27,36,75.0,3,25,4,1,0,41097255
Lamine Yamal,19.0,es ESP,"RM,RW",17-235,55,0,0,0,0,3,1,0,0,37,1,1,2,0.4,0.4,0.0,2,0,21,27,77.8,4,23,4,2,2,41097255
Ferrán Torres,7.0,es ESP,"LM,FW",25-004,35,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,1,2,0,0,0,41097255
Dani Olmo,20.0,es ESP,"AM,CM",26-302,27,0,0,0,0,2,1,0,0,22,0,0,0,0.3,0.3,0.0,2,0,15,17,88.2,5,13,0,1,1,41097255
Ronald Araújo,4.0,uy URU,CB,25-363,63,0,0,0,0,0,0,0,0,31,2,1,6,0.0,0.0,0.0,0,0,11,15,73.3,1,7,0,0,0,41097255
Pedri,8.0,es ESP,"CM,DM",22-100,90,0,0,0,0,0,0,0,0,82,1,2,1,0.0,0.0,0.1,6,0,61,69,88.4,8,41,4,4,2,41097255
Frenkie de Jong,21.0,nl NED,"CM,DM,CB",27-297,78,0,0,0,0,0,0,0,0,57,0,0,1,0.0,0.0,0.0,1,0,48,53,90.6,2,30,1,0,0,41097255
Marc Casado,17.0,es ESP,CM,21-172,12,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,0,0,4,6,66.7,1,4,0,1,0,41097255
Alejandro Balde,3.0,es ESP,"LB,LM",21-138,90,0,0,0,0,0,0,0,0,54,2,1,2,0.0,0.0,0.0,0,0,29,36,80.6,0,22,0,10,3,41097255
Iñigo Martínez,5.0,es ESP,CB,33-292,90,0,0,0,0,0,0,1,0,65,3,1,3,0.0,0.0,0.0,0,0,43,51,84.3,2,34,0,0,0,41097255
Pau Cubarsí,2.0,es ESP,CB,18-042,21,0,0,0,0,1,1,0,1,25,0,0,0,0.1,0.1,0.0,0,0,23,23,100.0,0,16,0,0,0,41097255
Jules Koundé,23.0,fr FRA,RB,26-113,90,0,0,0,0,0,0,0,0,62,1,0,4,0.0,0.0,0.0,1,0,36,44,81.8,1,21,0,0,0,41097255
Wojciech Szczęsny,25.0,pl POL,GK,34-321,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,30,50,60.0,0,28,0,0,0,41097255
15 Players,,,,,921,1,0,0,0,10,5,1,1,595,15,6,23,1.6,1.6,0.5,15,0,370,455,81.3,30,276,14,19,8,41097255
