Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-094,88,1,0,0,0,1,1,0,0,27,0,0,1,0.4,0.4,0.1,2,0,15,20,75.0,2,14,1,1,1,ffb1fa1d
Pau Victor,18.0,es ESP,FW,22-363,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,1,0,ffb1fa1d
Dani Olmo,20.0,es ESP,LW,26-200,88,0,0,0,0,1,1,0,0,60,2,0,0,0.0,0.0,0.4,4,0,41,54,75.9,8,25,2,3,1,ffb1fa1d
Pablo Torre,14.0,es ESP,LW,21-234,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,ffb1fa1d
Raphinha,11.0,br BRA,RW,27-345,90,1,0,0,0,5,2,0,0,49,0,0,3,1.1,1.1,0.0,2,2,24,36,66.7,1,32,8,4,2,ffb1fa1d
Gavi,6.0,es ESP,AM,20-110,74,0,0,0,0,0,0,0,0,64,1,1,2,0.0,0.0,0.0,2,0,47,56,83.9,4,33,1,4,2,ffb1fa1d
Frenkie de Jong,21.0,nl NED,AM,27-195,16,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,1,0,8,8,100.0,1,7,0,1,0,ffb1fa1d
Marc Casado,17.0,es ESP,DM,21-070,81,0,0,0,0,1,0,2,1,86,3,2,0,0.0,0.0,0.0,3,0,65,71,91.5,6,35,0,2,0,ffb1fa1d
Pedri,8.0,es ESP,DM,21-364,74,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.1,1,0,31,35,88.6,4,20,2,1,1,ffb1fa1d
Fermin López,16.0,es ESP,DM,21-196,16,0,0,0,0,1,0,1,0,12,0,1,0,0.3,0.3,0.0,0,0,7,10,70.0,2,5,1,0,0,ffb1fa1d
Gerard Martín,35.0,es ESP,LB,22-327,45,0,0,0,0,0,0,1,0,40,2,0,3,0.0,0.0,0.0,0,0,22,33,66.7,0,12,0,0,0,ffb1fa1d
Héctor Fort,32.0,es ESP,LB,18-113,45,0,0,0,0,0,0,1,0,40,2,3,3,0.0,0.0,0.3,1,0,24,29,82.8,1,16,1,2,1,ffb1fa1d
Iñigo Martínez,5.0,es ESP,CB,33-190,90,0,0,0,0,0,0,0,0,87,0,2,0,0.0,0.0,0.0,0,0,66,80,82.5,4,50,0,0,0,ffb1fa1d
Pau Cubarsí,2.0,es ESP,CB,17-306,90,0,0,0,0,0,0,0,0,77,0,1,0,0.0,0.0,0.0,0,0,63,69,91.3,2,39,0,1,1,ffb1fa1d
Jules Koundé,23.0,fr FRA,RB,26-011,90,0,1,0,0,0,0,0,0,77,3,1,0,0.0,0.0,0.5,1,1,62,70,88.6,7,33,1,1,1,ffb1fa1d
Iñaki Peña,13.0,es ESP,GK,25-266,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,41,48,85.4,0,28,0,0,0,ffb1fa1d
16 Players,,,,,981,2,1,0,0,9,4,5,1,728,13,12,13,1.8,1.8,1.4,17,3,520,624,83.3,42,352,17,21,10,ffb1fa1d
