Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-112,70,0,0,0,0,2,0,0,0,16,1,0,2,0.1,0.1,0.0,1,0,7,10,70.0,0,2,0,1,0,cf33e56f
Ferrán Torres,7.0,es ESP,FW,24-286,20,2,0,0,0,2,2,1,0,9,0,0,0,0.8,0.8,0.0,0,0,3,4,75.0,0,4,0,1,0,cf33e56f
Raphinha,11.0,br BRA,LW,27-363,70,1,0,0,0,2,1,0,0,28,2,0,1,0.7,0.7,0.2,3,0,17,21,81.0,1,13,3,2,2,cf33e56f
Frenkie de Jong,21.0,nl NED,RM,27-213,20,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,2,7,28.6,1,5,0,2,0,cf33e56f
Lamine Yamal,19.0,es ESP,RW,17-151,89,0,1,0,0,4,2,0,0,45,2,0,0,0.2,0.2,0.5,8,1,25,31,80.6,6,28,5,9,4,cf33e56f
Pau Victor,18.0,es ESP,RW,23-015,1,0,0,0,0,0,0,0,0,6,2,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,cf33e56f
Dani Olmo,20.0,es ESP,AM,26-218,70,0,1,0,0,1,1,0,0,37,2,0,1,0.1,0.1,0.5,4,2,25,31,80.6,5,17,3,5,4,cf33e56f
Fermin López,16.0,es ESP,LW,21-214,20,0,0,0,0,1,1,0,0,9,0,0,1,0.1,0.1,0.0,1,1,5,7,71.4,0,3,0,0,0,cf33e56f
Pedri,8.0,es ESP,"DM,LM",22-016,89,0,0,0,0,0,0,0,0,74,3,0,4,0.0,0.0,0.0,2,1,51,67,76.1,6,30,2,1,0,cf33e56f
Eric García,24.0,es ESP,LM,23-337,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,cf33e56f
Marc Casado,17.0,es ESP,"DM,CM",21-088,90,0,0,0,0,0,0,0,0,70,7,1,0,0.0,0.0,0.1,2,0,52,59,88.1,3,24,1,0,0,cf33e56f
Alejandro Balde,3.0,es ESP,LB,21-054,90,0,0,0,0,0,0,0,0,63,2,0,3,0.0,0.0,0.0,0,0,51,55,92.7,1,21,1,2,1,cf33e56f
Iñigo Martínez,5.0,es ESP,CB,33-208,90,0,0,0,0,0,0,0,0,86,0,0,0,0.0,0.0,0.0,0,0,75,79,94.9,1,37,0,0,0,cf33e56f
Pau Cubarsí,2.0,es ESP,CB,17-324,90,0,0,0,0,0,0,1,0,80,1,0,0,0.0,0.0,0.0,0,0,71,76,93.4,4,32,1,0,0,cf33e56f
Jules Koundé,23.0,fr FRA,RB,26-029,90,0,0,0,0,1,1,0,0,73,1,2,0,0.1,0.1,0.1,3,0,53,67,79.1,4,26,2,1,0,cf33e56f
Iñaki Peña,13.0,es ESP,GK,25-284,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,29,35,82.9,0,17,0,0,0,cf33e56f
16 Players,,,,,990,3,2,0,0,13,8,2,0,645,25,4,13,2.1,2.1,1.3,24,5,467,550,84.9,32,261,18,24,11,cf33e56f
