Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-071,88,0,3,0,0,4,0,0,0,35,1,0,0,0.9,0.9,1.1,5,3,18,23,78.3,0,27,0,2,1,f1804d9c
Gavi,6.0,es ESP,AM,20-279,2,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,0,3,0.0,0,2,0,0,0,f1804d9c
Raphinha,11.0,br BRA,"LW,FW",28-148,90,2,0,0,0,6,2,0,0,56,0,0,0,2.3,2.3,0.2,5,0,32,48,66.7,1,40,4,1,0,f1804d9c
Lamine Yamal,19.0,es ESP,RW,17-302,90,1,0,0,0,7,5,0,0,59,0,1,0,0.4,0.4,1.4,8,0,35,41,85.4,2,47,6,7,4,f1804d9c
Dani Olmo,20.0,es ESP,AM,27-004,76,0,0,0,0,1,0,0,0,31,0,0,0,0.0,0.0,0.0,4,1,26,29,89.7,2,21,1,0,0,f1804d9c
Fermin López,16.0,es ESP,"AM,LW",22-000,14,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.1,2,0,6,7,85.7,1,6,1,1,0,f1804d9c
Pedri,8.0,es ESP,DM,22-167,90,0,1,0,0,0,0,1,0,86,2,0,3,0.0,0.0,0.4,9,3,70,77,90.9,12,57,4,1,1,f1804d9c
Frenkie de Jong,21.0,nl NED,DM,27-364,90,0,0,0,0,0,0,0,0,79,4,2,2,0.0,0.0,0.0,0,0,67,72,93.1,6,56,3,0,0,f1804d9c
Gerard Martín,35.0,es ESP,LB,23-130,56,0,0,0,0,1,1,0,0,35,0,0,0,0.0,0.0,0.0,1,0,24,32,75.0,1,22,0,0,0,f1804d9c
Alejandro Balde,3.0,es ESP,LB,21-205,34,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,20,22,90.9,1,18,1,0,0,f1804d9c
Iñigo Martínez,5.0,es ESP,CB,33-359,90,0,0,0,0,1,0,1,0,65,0,0,0,0.0,0.0,0.0,2,0,54,63,85.7,5,45,3,0,0,f1804d9c
Pau Cubarsí,2.0,es ESP,CB,18-109,56,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.0,1,0,18,22,81.8,1,9,0,0,0,f1804d9c
Andreas Christensen,15.0,dk DEN,CB,29-031,34,0,0,0,0,0,0,0,0,8,1,2,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,0,0,f1804d9c
Eric García,24.0,es ESP,RB,24-122,77,1,0,0,0,1,1,0,0,44,4,0,0,0.5,0.5,0.0,1,0,34,39,87.2,3,27,1,1,0,f1804d9c
Héctor Fort,32.0,es ESP,RB,18-282,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,3,0,0,0,f1804d9c
Wojciech Szczęsny,25.0,pl POL,GK,35-023,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,23,27,85.2,0,17,0,0,0,f1804d9c
17 Players,,,,,990,4,4,0,0,23,9,4,0,602,14,5,5,4.3,4.3,3.2,40,7,438,517,84.7,36,402,24,13,6,f1804d9c
