Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-267,64,0,0,0,0,2,0,0,0,18,0,0,0,0.2,0.2,0.0,0,0,11,15,73.3,0,10,0,1,1,45f486b1
Fermin López,16.0,es ESP,"FW,AM",22-004,26,1,0,0,0,1,1,0,0,13,0,0,2,0.1,0.1,0.0,0,0,4,5,80.0,0,6,1,3,1,45f486b1
Raphinha,11.0,br BRA,LW,28-152,90,0,0,0,0,1,1,0,0,48,0,2,1,0.0,0.0,0.1,1,0,32,39,82.1,0,18,0,1,1,45f486b1
Lamine Yamal,19.0,es ESP,RW,17-306,90,1,1,0,0,5,2,0,0,91,3,0,0,0.2,0.2,0.1,4,2,55,73,75.3,7,59,9,14,7,45f486b1
Dani Olmo,20.0,es ESP,"AM,FW",27-008,76,0,1,0,0,1,0,0,0,53,2,0,0,0.1,0.1,0.1,4,1,43,48,89.6,7,32,1,4,2,45f486b1
Gavi,6.0,es ESP,AM,20-283,14,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,8,10,80.0,0,5,0,0,0,45f486b1
Pedri,8.0,es ESP,DM,22-171,90,0,0,0,0,1,0,0,0,124,2,0,1,0.0,0.0,0.1,6,0,104,117,88.9,15,85,4,0,0,45f486b1
Frenkie de Jong,21.0,nl NED,DM,28-003,90,0,0,0,0,1,0,0,0,101,0,5,1,0.0,0.0,0.0,2,0,89,91,97.8,9,68,0,0,0,45f486b1
Gerard Martín,35.0,es ESP,LB,23-134,45,0,0,0,0,0,0,0,0,51,1,3,1,0.0,0.0,0.0,0,0,39,44,88.6,4,21,1,0,0,45f486b1
Alejandro Balde,3.0,es ESP,LB,21-209,45,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,0,0,31,34,91.2,0,23,1,1,1,45f486b1
Andreas Christensen,15.0,dk DEN,CB,29-035,76,0,0,0,0,0,0,1,0,88,4,2,1,0.0,0.0,0.0,1,0,67,75,89.3,7,59,0,0,0,45f486b1
Héctor Fort,32.0,es ESP,RB,18-286,14,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,13,14,92.9,0,12,1,0,0,45f486b1
Ronald Araújo,4.0,uy URU,CB,26-069,50,0,0,0,0,0,0,0,0,61,0,1,0,0.0,0.0,0.0,1,0,54,57,94.7,4,38,0,0,0,45f486b1
Pau Cubarsí,2.0,es ESP,CB,18-113,40,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,0,0,31,34,91.2,0,22,1,1,0,45f486b1
Eric García,24.0,es ESP,"RB,CB",24-126,90,0,0,0,0,0,0,0,0,97,1,1,2,0.0,0.0,0.0,1,0,82,91,90.1,6,44,1,0,0,45f486b1
Wojciech Szczęsny,25.0,pl POL,GK,35-027,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,23,27,85.2,0,14,0,0,0,45f486b1
16 Players,,,,,990,2,2,0,0,12,4,1,0,883,15,15,11,0.6,0.6,0.4,21,3,686,774,88.6,59,516,20,25,13,45f486b1
