Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-025,68,0,1,0,0,3,2,0,0,23,0,0,0,0.3,0.3,0.1,2,0,14,15,93.3,4,13,0,0,0,f166ffc9
Ferrán Torres,7.0,es ESP,FW,24-199,17,0,0,0,0,0,0,0,1,10,1,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,0,0,f166ffc9
Raphinha,11.0,br BRA,"LW,AM",27-276,90,0,0,0,0,1,0,0,0,48,2,0,0,0.0,0.0,0.6,7,2,26,44,59.1,4,26,0,3,1,f166ffc9
Lamine Yamal,19.0,es ESP,RW,17-064,89,2,0,0,0,5,4,1,0,53,6,0,0,0.7,0.7,0.1,2,0,24,34,70.6,4,30,4,6,1,f166ffc9
Gerard Martín,35.0,es ESP,RW,22-258,1,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,f166ffc9
Dani Olmo,20.0,es ESP,AM,26-131,60,1,0,0,0,1,1,0,0,36,2,1,0,0.0,0.0,0.0,1,0,20,26,76.9,4,22,1,2,1,f166ffc9
Eric García,24.0,es ESP,"DM,AM",23-250,30,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,8,1,1,1,f166ffc9
Pedri,8.0,es ESP,DM,21-295,68,1,0,0,0,1,1,0,0,46,3,0,1,0.2,0.2,0.0,1,0,31,34,91.2,8,18,0,3,1,f166ffc9
Pau Victor,18.0,es ESP,LW,22-294,22,0,0,0,0,3,1,1,0,16,0,0,1,0.5,0.5,0.0,1,0,5,9,55.6,0,9,1,1,1,f166ffc9
Marc Casado,17.0,es ESP,DM,21-001,90,0,1,0,0,1,0,0,0,56,1,0,1,0.0,0.0,0.2,5,1,47,52,90.4,6,33,0,0,0,f166ffc9
Alejandro Balde,3.0,es ESP,LB,20-333,90,0,0,0,0,2,0,0,0,58,2,0,0,0.1,0.1,0.0,3,1,36,45,80.0,2,29,4,4,2,f166ffc9
Iñigo Martínez,5.0,es ESP,CB,33-121,90,0,0,0,0,1,0,0,0,90,1,0,1,0.0,0.0,0.0,3,0,74,80,92.5,5,55,1,0,0,f166ffc9
Pau Cubarsí,2.0,es ESP,CB,17-237,60,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,1,42,45,93.3,2,30,0,0,0,f166ffc9
Héctor Fort,32.0,es ESP,RB,18-044,30,0,0,0,0,1,0,0,0,17,0,0,2,0.0,0.0,0.0,1,0,9,12,75.0,1,5,1,1,0,f166ffc9
Jules Koundé,23.0,fr FRA,"RB,CB",25-308,90,0,1,0,0,1,0,0,0,65,1,0,1,0.0,0.0,0.1,2,1,53,59,89.8,6,35,2,2,2,f166ffc9
Marc-André ter Stegen,1.0,de GER,GK,32-138,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,43,46,93.5,0,33,0,0,0,f166ffc9
16 Players,,,,,985,4,3,0,0,20,9,2,1,628,19,1,9,1.9,1.9,1.2,30,6,443,522,84.9,47,353,15,23,10,f166ffc9
