Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-066,89,0,0,0,0,1,0,0,0,13,0,0,0,0.3,0.3,0.0,1,0,6,9,66.7,0,9,0,1,0,ff6aaaa9
Robert Lewandowski,9.0,pl POL,FW,36-258,31,0,0,0,0,2,0,0,0,15,0,0,0,0.5,0.5,0.0,2,0,7,11,63.6,3,5,0,0,0,ff6aaaa9
Raphinha,11.0,br BRA,"LW,LM",28-143,120,1,0,0,0,2,2,0,0,75,3,0,1,0.2,0.2,0.1,9,1,45,63,71.4,4,36,3,2,1,ff6aaaa9
Lamine Yamal,19.0,es ESP,"RW,RM",17-297,120,0,0,0,0,9,5,0,0,102,2,0,1,0.4,0.4,0.1,4,0,51,74,68.9,7,82,17,25,14,ff6aaaa9
Dani Olmo,20.0,es ESP,AM,26-364,82,1,0,0,0,4,1,0,0,48,2,1,0,0.8,0.8,0.1,3,0,28,36,77.8,3,29,3,2,0,ff6aaaa9
Fermin López,16.0,es ESP,"AM,CM",21-360,38,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,3,0,18,24,75.0,0,17,0,1,0,ff6aaaa9
Pedri,8.0,es ESP,DM,22-162,104,0,0,0,0,1,0,0,0,111,3,3,2,0.0,0.0,0.2,10,1,86,99,86.9,11,73,5,2,2,ff6aaaa9
Pau Victor,18.0,es ESP,FW,23-161,16,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,2,2,0,0,0,ff6aaaa9
Frenkie de Jong,21.0,nl NED,"DM,CB",27-359,120,0,0,0,0,0,0,0,0,139,2,1,1,0.0,0.0,0.1,3,1,119,126,94.4,27,101,5,2,0,ff6aaaa9
Gerard Martín,35.0,es ESP,LB,23-125,120,0,2,0,0,0,0,0,0,124,3,1,2,0.0,0.0,1.1,4,2,81,108,75.0,4,71,2,0,0,ff6aaaa9
Iñigo Martínez,5.0,es ESP,CB,33-354,75,0,0,0,0,0,0,1,0,70,1,1,1,0.0,0.0,0.0,0,0,53,63,84.1,7,46,0,0,0,ff6aaaa9
Ronald Araújo,4.0,uy URU,CB,26-060,45,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,26,28,92.9,3,13,0,1,1,ff6aaaa9
Pau Cubarsí,2.0,es ESP,CB,18-104,104,0,0,0,0,0,0,0,0,73,0,2,2,0.0,0.0,0.0,0,0,63,65,96.9,5,43,0,0,0,ff6aaaa9
Gavi,6.0,es ESP,CM,20-274,16,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,6,0,0,0,ff6aaaa9
Eric García,24.0,es ESP,RB,24-117,97,1,0,0,0,2,2,0,0,98,1,2,2,0.7,0.7,0.3,2,0,78,85,91.8,12,60,1,5,2,ff6aaaa9
Héctor Fort,32.0,es ESP,RB,18-277,23,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,17,18,94.4,1,16,0,0,0,ff6aaaa9
Wojciech Szczęsny,25.0,pl POL,GK,35-018,120,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,17,0,0,0,ff6aaaa9
17 Players,,,,,1320,3,2,0,0,22,10,2,0,996,20,11,12,2.8,2.8,1.9,42,5,707,847,83.5,90,626,36,41,20,ff6aaaa9
