Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,24-278,72,1,0,0,0,5,2,0,0,23,1,0,1,0.6,0.6,0.1,2,0,8,13,61.5,1,16,2,0,0,fce1658d
Pau Victor,18.0,es ESP,FW,23-007,18,1,0,0,0,2,1,0,0,8,0,0,0,1.0,1.0,0.0,0,0,4,5,80.0,0,6,0,0,0,fce1658d
Raphinha,11.0,br BRA,LW,27-355,86,2,0,1,1,3,3,0,0,39,1,0,0,2.2,1.4,0.6,8,0,26,31,83.9,6,20,4,1,0,fce1658d
Fermin López,16.0,es ESP,LW,21-206,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,fce1658d
Lamine Yamal,19.0,es ESP,RW,17-143,90,0,1,0,0,6,1,0,0,49,0,0,1,1.0,1.0,0.6,8,4,21,33,63.6,6,34,3,7,5,fce1658d
Dani Olmo,20.0,es ESP,AM,26-210,71,0,0,0,0,2,0,0,0,30,1,0,1,0.1,0.1,0.0,1,1,16,20,80.0,5,17,3,2,1,fce1658d
Frenkie de Jong,21.0,nl NED,AM,27-205,19,1,1,0,0,1,1,0,0,7,0,0,0,0.2,0.2,1.0,2,2,4,5,80.0,2,2,0,1,1,fce1658d
Marc Casado,17.0,es ESP,DM,21-080,81,0,0,0,0,0,0,1,0,63,1,3,2,0.0,0.0,0.0,1,0,43,55,78.2,6,30,0,0,0,fce1658d
Eric García,24.0,es ESP,DM,23-329,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,0,0,0,0,fce1658d
Pedri,8.0,es ESP,DM,22-008,81,0,0,0,0,0,0,1,0,58,3,1,2,0.0,0.0,0.0,3,0,41,45,91.1,6,26,0,2,1,fce1658d
Gavi,6.0,es ESP,DM,20-120,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.5,1,0,7,8,87.5,1,3,0,0,0,fce1658d
Alejandro Balde,3.0,es ESP,LB,21-046,90,0,0,0,0,0,0,0,0,48,1,0,1,0.0,0.0,0.3,3,0,35,43,81.4,5,32,5,2,0,fce1658d
Iñigo Martínez,5.0,es ESP,CB,33-200,90,0,0,0,0,0,0,0,0,96,1,1,0,0.0,0.0,0.1,0,0,69,82,84.1,8,50,0,0,0,fce1658d
Pau Cubarsí,2.0,es ESP,CB,17-316,90,0,0,0,0,0,0,1,0,90,0,0,0,0.0,0.0,0.0,0,0,72,85,84.7,2,59,0,0,0,fce1658d
Jules Koundé,23.0,fr FRA,RB,26-021,90,0,0,0,0,0,0,0,0,67,3,1,1,0.0,0.0,0.0,1,1,45,55,81.8,4,28,1,0,0,fce1658d
Iñaki Peña,13.0,es ESP,GK,25-276,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,35,38,92.1,0,26,0,0,0,fce1658d
16 Players,,,,,990,5,2,1,1,19,8,3,0,637,12,6,9,5.1,4.3,3.1,30,8,432,526,82.1,52,351,18,15,8,fce1658d
