Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-029,79,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.2,0,0,14,19,73.7,3,8,0,0,0,745d19c2
Sergi Dominguez,36.0,es ESP,"FW,CB",19-171,11,0,0,0,0,0,0,0,0,7,1,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0,745d19c2
Raphinha,11.0,br BRA,"LW,RW",27-280,90,0,0,0,0,1,0,0,0,37,0,0,0,0.0,0.0,0.2,2,0,16,29,55.2,5,21,2,4,1,745d19c2
Lamine Yamal,19.0,es ESP,RW,17-068,79,1,0,0,0,2,1,0,0,32,1,0,0,0.2,0.2,0.0,0,0,16,23,69.6,5,24,4,4,0,745d19c2
Gerard Martín,35.0,es ESP,"RW,LB",22-262,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0,745d19c2
Pedri,8.0,es ESP,"DM,AM",21-299,82,0,0,0,0,0,0,0,0,49,3,1,2,0.0,0.0,0.0,1,0,32,36,88.9,4,20,1,1,0,745d19c2
Pablo Torre,14.0,es ESP,DM,21-169,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,745d19c2
Eric García,24.0,es ESP,DM,23-254,9,0,0,0,0,0,0,0,1,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,1,0,0,0,745d19c2
Marc Casado,17.0,es ESP,DM,21-005,90,0,1,0,0,0,0,1,0,63,3,0,1,0.0,0.0,0.0,3,1,44,51,86.3,8,30,0,0,0,745d19c2
Alejandro Balde,3.0,es ESP,LB,20-337,87,0,0,0,0,1,0,1,0,25,0,1,2,0.2,0.2,0.0,1,0,12,18,66.7,4,12,2,2,1,745d19c2
Ansu Fati,10.0,es ESP,LW,21-324,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,745d19c2
Iñigo Martínez,5.0,es ESP,CB,33-125,90,0,0,0,0,0,0,1,0,47,1,1,1,0.0,0.0,0.0,0,0,35,39,89.7,2,21,1,0,0,745d19c2
Pau Cubarsí,2.0,es ESP,CB,17-241,79,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,1,1,39,44,88.6,2,27,0,0,0,745d19c2
Ferrán Torres,7.0,es ESP,"CB,FW",24-203,11,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,745d19c2
Jules Koundé,23.0,fr FRA,RB,25-312,90,0,0,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.0,0,0,40,47,85.1,1,19,0,3,2,745d19c2
Marc-André ter Stegen,1.0,de GER,GK,32-142,90,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,0,0,39,56,69.6,0,45,0,0,0,745d19c2
16 Players,,,,,909,1,1,0,0,4,1,3,1,469,12,4,9,0.4,0.4,0.4,8,2,300,378,79.4,35,237,10,14,4,745d19c2
