Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-038,69,0,0,0,0,2,1,0,0,21,1,0,0,0.4,0.4,0.0,0,0,9,12,75.0,1,11,1,1,1,d5c58cc9
Marc Casado,17.0,es ESP,RM,21-014,21,0,0,0,0,1,0,0,0,27,0,0,0,0.0,0.0,0.0,1,1,22,24,91.7,4,17,0,0,0,d5c58cc9
Pau Victor,18.0,es ESP,LW,22-307,58,1,0,0,0,1,1,0,0,38,0,1,1,0.0,0.0,0.0,0,0,25,31,80.6,1,19,0,4,3,d5c58cc9
Lamine Yamal,19.0,es ESP,"RW,LW",17-077,32,1,0,0,0,3,1,0,0,32,1,1,0,0.1,0.1,0.2,2,0,16,21,76.2,2,25,1,5,1,d5c58cc9
Ferrán Torres,7.0,es ESP,"RW,FW",24-212,90,0,1,0,0,2,1,0,0,45,2,0,1,0.2,0.2,0.0,2,1,26,32,81.3,3,21,1,2,1,d5c58cc9
Pedri,8.0,es ESP,LM,21-308,90,0,0,0,0,0,0,1,0,93,2,1,2,0.0,0.0,0.0,0,0,64,76,84.2,1,55,2,3,2,d5c58cc9
Eric García,24.0,es ESP,CM,23-263,90,0,0,0,0,1,1,0,0,89,1,2,3,0.0,0.0,0.0,0,0,70,77,90.9,12,42,4,1,0,d5c58cc9
Pablo Torre,14.0,es ESP,RM,21-178,58,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.0,3,0,33,41,80.5,4,24,1,0,0,d5c58cc9
Raphinha,11.0,br BRA,"LW,RM",27-289,32,0,0,0,0,1,0,0,0,33,1,0,0,0.0,0.0,0.2,5,0,19,28,67.9,3,19,3,2,1,d5c58cc9
Gerard Martín,35.0,es ESP,LB,22-271,69,0,1,0,0,0,0,0,0,54,0,1,0,0.0,0.0,0.0,1,0,38,49,77.6,1,17,1,0,0,d5c58cc9
Alejandro Balde,3.0,es ESP,LB,20-346,21,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,2,0,14,15,93.3,1,11,1,2,1,d5c58cc9
Pau Cubarsí,2.0,es ESP,CB,17-250,90,0,0,0,0,0,0,0,0,101,1,0,0,0.0,0.0,0.0,2,0,89,98,90.8,9,54,6,0,0,d5c58cc9
Sergi Dominguez,36.0,es ESP,CB,19-180,84,0,0,0,0,0,0,1,0,95,0,1,0,0.0,0.0,0.0,0,0,86,90,95.6,7,62,0,0,0,d5c58cc9
Héctor Fort,32.0,es ESP,CB,18-057,6,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,3,1,0,0,d5c58cc9
Jules Koundé,23.0,fr FRA,RB,25-321,90,0,0,0,0,1,1,0,0,94,3,0,0,0.0,0.0,0.3,3,0,72,80,90.0,8,47,0,4,2,d5c58cc9
Iñaki Peña,13.0,es ESP,GK,25-210,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,25,30,83.3,0,11,0,0,0,d5c58cc9
16 Players,,,,,990,2,2,0,0,12,6,2,0,831,15,7,7,0.8,0.8,0.8,21,2,615,713,86.3,58,438,22,24,12,d5c58cc9
