Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-081,90,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,13,16,81.3,3,17,0,3,2,5f83ac85
Raphinha,11.0,br BRA,LW,27-332,90,0,0,0,0,1,0,0,0,54,0,0,1,0.0,0.0,0.1,5,0,28,46,60.9,5,29,3,3,2,5f83ac85
Fermin López,16.0,es ESP,RW,21-183,68,0,0,0,0,2,0,0,0,31,1,0,0,0.2,0.2,0.0,0,0,19,23,82.6,2,20,2,2,0,5f83ac85
Ansu Fati,10.0,es ESP,RW,22-010,22,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,9,2,1,1,5f83ac85
Pedri,8.0,es ESP,"AM,DM",21-351,89,0,0,0,0,1,0,0,0,70,0,0,1,0.1,0.1,0.1,3,0,48,63,76.2,5,50,6,1,1,5f83ac85
Pau Victor,18.0,es ESP,DM,22-350,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,5f83ac85
Frenkie de Jong,21.0,nl NED,DM,27-182,45,0,0,0,0,1,0,0,0,35,0,0,1,0.0,0.0,0.0,1,0,26,30,86.7,2,23,4,2,1,5f83ac85
Dani Olmo,20.0,es ESP,"AM,DM",26-187,45,0,0,0,0,2,0,0,0,25,0,0,0,0.1,0.1,0.0,2,0,14,19,73.7,2,19,1,2,2,5f83ac85
Marc Casado,17.0,es ESP,"DM,RB",21-057,90,0,0,0,0,1,0,0,0,83,2,0,1,0.0,0.0,0.0,4,0,63,76,82.9,8,49,0,0,0,5f83ac85
Alejandro Balde,3.0,es ESP,LB,21-023,90,0,0,0,0,0,0,0,0,86,2,1,1,0.0,0.0,0.1,1,0,57,72,79.2,2,58,6,10,5,5f83ac85
Iñigo Martínez,5.0,es ESP,CB,33-177,90,0,0,0,0,1,0,1,0,115,2,0,1,0.0,0.0,0.1,2,0,93,109,85.3,3,79,2,0,0,5f83ac85
Pau Cubarsí,2.0,es ESP,CB,17-293,90,0,0,0,0,2,0,0,0,94,2,2,1,0.2,0.2,0.0,1,0,78,85,91.8,9,68,0,0,0,5f83ac85
Jules Koundé,23.0,fr FRA,RB,25-364,83,0,0,0,0,0,0,0,0,51,2,1,0,0.0,0.0,0.1,1,0,30,40,75.0,2,24,3,1,0,5f83ac85
Gavi,6.0,es ESP,DM,20-097,7,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,2,8,0,0,0,5f83ac85
Iñaki Peña,13.0,es ESP,GK,25-253,90,0,0,0,0,0,0,0,0,78,0,0,0,0.0,0.0,0.0,0,0,66,74,89.2,0,57,0,0,0,5f83ac85
15 Players,,,,,990,0,0,0,0,11,0,1,0,776,12,4,8,0.7,0.7,0.5,20,0,554,677,81.8,45,512,29,25,14,5f83ac85
