Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,36-077,77,2,0,0,0,5,3,0,0,26,0,0,0,2.1,2.1,0.0,2,1,12,16,75.0,3,16,1,1,0,9a70feac
Pau Victor,18.0,es ESP,FW,22-346,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.2,1,0,4,5,80.0,1,3,0,0,0,9a70feac
Raphinha,11.0,br BRA,LW,27-328,57,1,1,0,0,4,1,0,0,42,0,0,0,0.4,0.4,0.7,4,2,25,35,71.4,3,24,0,0,0,9a70feac
Fermin López,16.0,es ESP,LW,21-179,33,1,0,0,0,3,2,0,0,19,1,1,0,0.4,0.4,0.0,0,0,11,13,84.6,1,11,0,1,1,9a70feac
Lamine Yamal,19.0,es ESP,RW,17-116,90,0,0,0,0,6,2,0,0,71,0,0,0,0.2,0.2,0.3,9,1,41,55,74.5,11,46,3,8,3,9a70feac
Pedri,8.0,es ESP,AM,21-347,57,0,0,0,0,1,0,0,0,29,2,1,1,0.1,0.1,0.2,5,1,20,23,87.0,3,14,1,1,1,9a70feac
Dani Olmo,20.0,es ESP,AM,26-183,33,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,2,0,16,20,80.0,2,8,2,0,0,9a70feac
Marc Casado,17.0,es ESP,DM,21-053,90,0,0,0,0,0,0,0,0,119,6,1,1,0.0,0.0,0.0,4,1,97,107,90.7,7,60,2,2,1,9a70feac
Frenkie de Jong,21.0,nl NED,DM,27-178,67,0,0,0,0,0,0,0,0,68,3,2,0,0.0,0.0,0.0,1,0,59,60,98.3,8,38,1,0,0,9a70feac
Gavi,6.0,es ESP,DM,20-093,23,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,27,29,93.1,2,16,1,1,0,9a70feac
Gerard Martín,35.0,es ESP,LB,22-310,90,0,0,0,0,0,0,0,0,63,0,3,1,0.0,0.0,0.1,2,0,39,48,81.3,2,22,0,2,0,9a70feac
Iñigo Martínez,5.0,es ESP,CB,33-173,90,1,0,0,0,1,1,0,0,104,1,0,1,0.4,0.4,0.0,2,0,92,98,93.9,11,70,4,0,0,9a70feac
Pau Cubarsí,2.0,es ESP,CB,17-289,66,0,0,0,0,0,0,0,0,84,0,2,0,0.0,0.0,0.0,1,0,78,82,95.1,16,56,0,1,1,9a70feac
Sergi Dominguez,36.0,es ESP,CB,19-219,24,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,22,23,95.7,2,9,0,0,0,9a70feac
Jules Koundé,23.0,fr FRA,RB,25-360,90,0,3,0,0,0,0,0,0,78,0,0,2,0.0,0.0,1.2,5,3,57,66,86.4,4,40,5,2,0,9a70feac
Iñaki Peña,13.0,es ESP,GK,25-249,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,0,10,0,0,0,9a70feac
16 Players,,,,,990,5,4,0,0,21,9,0,0,807,13,10,6,3.7,3.7,2.7,39,9,617,699,88.3,76,443,20,19,7,9a70feac
